id,dataset,top_k,source,graph_R,build_L,pq_chunks,bf_entries,search_L,query_count,target_recall,target_qps
deep10M_r5,deep10M,5,tuning_004,32,64,96,399887,40,1000,0.9058,50000.00
deep10M_r10,deep10M,10,tuning_004,32,64,96,399887,50,1000,0.9079,55555.56
deep10M_r100,deep10M,100,tuning_004,32,64,96,399887,120,1000,0.9065,28571.43
glove2_2m_r5,glove2_2m,5,tuning_004,64,256,128,399887,120,1000,0.9186,16269.84
glove2_2m_r10,glove2_2m,10,tuning_004,64,256,128,399887,120,1000,0.9091,11634.20
glove2_2m_r100,glove2_2m,100,tuning_004,64,256,128,399887,512,1000,0.9062,3153.66
pubmed_r5,pubmed,5,tuning_004,32,64,128,399887,80,1000,0.9232,26315.79
pubmed_r10,pubmed,10,tuning_004,32,64,128,399887,80,1000,0.9145,24404.76
pubmed_r100,pubmed,100,tuning_004,32,64,128,399887,320,1000,0.9125,8658.17
sift1M_r5,sift1M,5,r16_baseline_002,16,64,128,399887,80,1000,0.9298,62500.00
sift1M_r10,sift1M,10,tuning_004,32,64,128,399887,40,1000,0.9390,83333.33
sift1M_r100,sift1M,100,tuning_004,32,64,128,399887,100,1000,0.9413,32258.06
text2img1M_r5,text2img1M,5,r16_baseline_002,16,64,128,399887,40,1000,0.9488,66666.67
text2img1M_r10,text2img1M,10,r16_baseline_002,16,64,128,399887,40,1000,0.9386,69047.62
text2img1M_r100,text2img1M,100,r16_baseline_002,16,64,128,399887,100,1000,0.9124,34482.76
wiki1M_r5,wiki1M,5,r16_baseline_002,16,64,128,399887,80,1000,0.9380,23326.57
wiki1M_r10,wiki1M,10,r16_baseline_002,16,64,128,399887,80,1000,0.9339,20238.10
wiki1M_r100,wiki1M,100,tuning_004,32,64,128,99991,240,1000,0.9733,12500.00
word2vec_r5,word2vec,5,tuning_004,32,64,128,399887,80,1000,0.9368,32258.06
word2vec_r10,word2vec,10,tuning_004,32,64,128,399887,80,1000,0.9319,27863.78
word2vec_r100,word2vec,100,tuning_004,32,64,128,399887,160,1000,0.9173,17392.62
