id,dataset,dataset_arg,top_k,graph_degree,intermediate_graph_degree,search_width,itopk_size,metric,graph_build_algo,n_runs,n_warmup,repeat_queries,mmap,target_qps,target_recall
deep_r5,deep,deep,5,64,128,1,32,inner_product,,1973,3,true,false,650543.8263024085,0.9040
deep_r10,deep,deep,10,64,128,1,40,inner_product,,1820,3,true,false,599500.5293983769,0.9090
wiki_r5,wiki1m,wiki,5,32,64,1,32,inner_product,,824,3,true,false,401658.4411963535,0.8980
wiki_r10,wiki1m,wiki,10,32,64,1,36,inner_product,,928,3,true,false,310459.2153960030,0.9200
word2vec_r5,word2vec,word2vec,5,64,128,1,28,inner_product,,663,3,false,false,284376.9246769545,0.9052
word2vec_r10,word2vec,word2vec,10,64,128,1,31,inner_product,,590,3,false,false,269189.1417967638,0.9088
text2img_r5,text2img,text2img,5,32,64,1,68,inner_product,,771,3,true,false,511619.6893173840,0.9100
text2img_r10,text2img,text2img,10,32,64,1,68,inner_product,,1269,3,true,false,478490.5358590221,0.9090
sift1m_r5,sift1m,sift1m,5,128,256,1,14,inner_product,,1234,3,false,false,450756.7130753531,0.9030
sift1m_r10,sift1m,sift1m,10,64,128,1,20,inner_product,,1288,3,false,false,504396.5936124024,0.8829
pubmed_r5,pubmed_d2v,pubmed_d2v,5,64,128,16,320,inner_product,,50,3,true,false,19160.7225069728,0.9096
pubmed_r10,pubmed_d2v,pubmed_d2v,10,64,128,16,320,inner_product,,50,3,true,false,19111.6715093973,0.9050
glove_r5,glove2.2m_norm,glove,5,12,48,4,3104,inner_product,,57,3,false,false,22717.8814068828,0.9022
glove_r10,glove2.2m_norm,glove,10,16,80,4,2240,inner_product,,57,3,false,false,22652.9812495256,0.9136
wiki_r100,wiki1m,wiki,100,6,12,2,448,sqeuclidean,nn_descent,50,3,true,true,178605.67,0.893600
glove_r100,glove2.2m_norm,glove,100,12,60,4,7808,sqeuclidean,nn_descent,50,3,false,true,8738.64,0.907660
text2img_r100,text2img,text2img,100,16,32,1,256,sqeuclidean,nn_descent,50,3,true,true,312093.84,0.906900
deep_r100,deep,deep,100,28,56,1,130,sqeuclidean,nn_descent,20,3,true,true,504921.12,0.903900
pubmed_r100,pubmed_d2v,pubmed_d2v,100,64,128,16,386,sqeuclidean,nn_descent,50,3,true,true,14780.42,0.905800
sift1m_r100,sift1m,sift1m,100,64,128,1,100,sqeuclidean,nn_descent,50,3,false,true,246520.75,0.986720
word2vec_r100,word2vec,word2vec,100,64,128,1,100,sqeuclidean,nn_descent,50,3,false,true,109021.46,0.925110
