top_k,top_k_label,dataset_key,dataset_label,dataset_short,design,design_label,plot_included,qps,cpu_qps,qps_speedup_vs_cpu,recall,data_status,source,stats_ref,run_ref,note
k5,Recall@5,deep10m,Deep10M,DP,cpu,CPU,True,141981.8249065937,141981.8249065937,1.0,0.8826,measured,sim,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/logs/deep10m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260329/eight_config_k5_nq1000/runs/formal_submit/01_deep10m_normalized_cpu/slurm-9615184.out,
k5,Recall@5,deep10m,Deep10M,DP,gpu_cagra,CAGRA,True,650543.8263024085,141981.8249065937,4.581881002940939,0.9039999999999981,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
k5,Recall@5,deep10m,Deep10M,DP,bang,BANG,True,50000.0,17700.5,2.825,0.9058,external_measurement,BANG:tuning_004,,,uses supplied BANG speedup
k5,Recall@5,deep10m,Deep10M,DP,ansmet,ANSMET,True,1863503.059639086,141981.8249065937,13.124940892012326,0.8818,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ansmet_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/01_deep10m_normalized_ansmet/slurm-9624166.out,
k5,Recall@5,deep10m,Deep10M,DP,ndp_base,NMP-Base,True,1528251.6419153577,141981.8249065937,10.763713193014361,0.8848,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/02_deep10m_normalized_ndp_base/slurm-9624167.out,
k5,Recall@5,deep10m,Deep10M,DP,ndp_fpma,NMP-FPMA/FPSA,True,1528251.6419153577,141981.8249065937,10.763713193014361,0.8848,derived_copy_no_direct_test,sim;copied_from=ndp_base,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ndp_base_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/02_deep10m_normalized_ndp_base/slurm-9624167.out,copied_from=ndp_base
k5,Recall@5,deep10m,Deep10M,DP,ndp_et,NMP-FPSA-ET,True,1594263.8387083274,141981.8249065937,11.228647326917748,0.878,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ndp_et_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/04_deep10m_normalized_ndp_et/slurm-9624169.out,
k5,Recall@5,deep10m,Deep10M,DP,mfnns,MFNNS,True,2383797.3295510416,141981.8249065937,16.789454080614064,0.878,measured,sim,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_mfnns_stats.yml,MFANNS/simulator/memory/20260331/eight_config_k5_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/06_deep10m_normalized_mfnns/slurm-9624171.out,
k5,Recall@5,glove2m,GloVe2M,GV,cpu,CPU,True,706.9694998641011,706.9694998641011,1.0,0.909,measured,sim,MFANNS/simulator/memory/20260330/eight_config_k5_nq1000_failed_only_npq100_t48h/logs/glove2m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260330/eight_config_k5_nq1000_failed_only_npq100_t48h/runs/formal_submit/01_glove2m_normalized_cpu/slurm-9618278.out,
k5,Recall@5,glove2m,GloVe2M,GV,gpu_cagra,CAGRA,True,22717.881406882756,706.9694998641011,32.13417468681429,0.9021999999999981,external_measurement,gpu,,MFANNS/gpu_cagra/gpu_ada_6000,
