top_k,dataset_key,design,ef_search,queue_size,s_num_query,s_mem_cycle,qps,recall,data_status,source_design,config_ref,stats_ref,stats_sha256,source,yml_path,slurm_path,note
k5,deep10m,cpu,13,NA,1000,19553847,122737.99626232118,0.9012,measured_completion,cpu,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/cpu.yaml,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k5_deep10m_cpu_ef0013_npq1000_stats.yml,5168c91386f9e8ba6af5a6daf0561db9cc91da5dd2c49b9dec4ac07e3e11ef97,latest_recall_gt0895:completion,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/cpu.yaml,,
k5,deep10m,ansmet,13,NA,1000,1177722,2037832.3577210922,0.905,measured_reused,ansmet,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k5/deep10m/ansmet/stats.yml,9ac83209f56a4f75f9d218f297d08928f73403a42d5a02c238031f16170cfddc,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ansmet.yaml,,
k5,deep10m,ndp_base,13,NA,1000,1784022,1345274.8901078575,0.8962,measured_reused,ndp_base,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k5/deep10m/ndp_base/stats.yml,62e9ea0ddfea19aa22d37750b021e5319060b47ffb86c02436ba45031fadfd56,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_base.yaml,,
k5,deep10m,ndp_fpma,13,NA,1000,1784022,1345274.8901078575,0.8962,measured_reused,ndp_fpma,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k5/deep10m/ndp_fpma/stats.yml,7bc403b6575e6c78220dbef71f4f8a7552efe908e9b9079d4a486a3508a955f1,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_fpma.yaml,,direct_ndp_fpma_measurement
k5,deep10m,ndp_et,15,30,1000,1722522,1393305.8619860879,0.9144,measured_reused,ndp_et,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k5/deep10m/ndp_et/stats.yml,3158c99ad1d0ed3f44bb217e75c0757a207b1f4128b0115089a313e2ef25281d,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_et.yaml,,
k5,deep10m,mfnns,15,30,1000,1176522,2039910.8558955973,0.9144,measured_completion,mfnns,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/mfnns.yaml,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k5_deep10m_mfnns_ef0015_q0030_npq1000_stats.yml,1de8e9a083099cb1a42f4027be5b801ca14acc628d2d2f10a23e32f5af930d0c,latest_recall_gt0895:completion,simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/mfnns.yaml,,
k5,glove2m,cpu,480,NA,1000,3390420822,707.8767285838713,0.9078,measured_completion,cpu,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/cpu.yaml,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k5_glove2m_cpu_ef0480_npq1000_stats.yml,b56de6ee05b416ae10033427093c5a1335b9e3e5f1bab1c4dabc8c1b60e334c7,latest_recall_gt0895:completion,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/cpu.yaml,,
k5,glove2m,ansmet,480,NA,1000,195189548,12295.740343637663,0.9084,measured_completion,ansmet,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ansmet.yaml,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k5_glove2m_ansmet_ef0480_npq1000_stats.yml,4337f07cb7e20bac6c7a7a0a782df92f43d7fcbda2f32d926406f88dd79829c5,latest_recall_gt0895:completion,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ansmet.yaml,,
k5,glove2m,ndp_base,480,NA,1000,275686947,8705.526417251811,0.904,measured_reused,ndp_base,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k5/glove2m/ndp_base/stats.yml,37d24234a6df32e73b3fb3646612619ee2a4a54b29d6855d5c2d3e908defe20e,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_base.yaml,,
k5,glove2m,ndp_fpma,480,NA,1000,275686947,8705.526417251811,0.904,measured_reused,ndp_fpma,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k5/glove2m/ndp_fpma/stats.yml,05cff9942cd392bcd06b39ac722ebcdc9f5de6a5d7dddd2b6a887e752c53bf83,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_fpma.yaml,,direct_ndp_fpma_measurement
