top_k,dataset_key,dataset_label,dataset_short,method,source_design,qps,recall,data_status,figure14_source,figure14_stats_ref,figure14_config_ref,figure14_note,area_mm2,area_efficiency_kqps_per_mm2,normalized_area_efficiency_vs_ansmet,derivation_note
k10,deep10m,Deep10M,DP,ANSMET,ansmet,1823677.7196733793,0.9016,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/deep10m/ansmet/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ansmet.yaml,,0.020913242,87202.05693949218,1.0,Measured Figure 14 QPS
k10,deep10m,Deep10M,DP,NMP-Base,ndp_base,1201067.7492290647,0.8983,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/deep10m/ndp_base/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_base.yaml,,0.020913242,57430.96882009326,0.6585964922816385,Measured Figure 14 QPS
k10,deep10m,Deep10M,DP,NMP-FPMA,ndp_fpma,1201067.7492290647,0.8983,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/deep10m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.01208361,99396.43444542357,1.1398404800748316,Use current Figure 14 NMP-FPMA QPS
k10,deep10m,Deep10M,DP,NMP-FPSA,ndp_fpma,1201067.7492290647,0.8983,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/deep10m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.009678554,124095.78426995031,1.4230832233241697,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,deep10m,Deep10M,DP,NMP-Base-ET,mfnns,1970205.5663232761,0.9026,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/deep10m/mfnns/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml,,0.020913242,94208.5194788678,1.0803474457516211,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,deep10m,Deep10M,DP,MFNNS,mfnns,1970205.5663232761,0.9026,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/deep10m/mfnns/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml,,0.009678554,203564.04131477448,2.3343949496056458,Measured Figure 14 QPS
k10,glove2m,GloVe2M,GV,ANSMET,ansmet,11801.638241462078,0.9007,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/glove2m/ansmet/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ansmet.yaml,,0.020913242,564.3141432333676,1.0,Measured Figure 14 QPS
k10,glove2m,GloVe2M,GV,NMP-Base,ndp_base,8375.669814093319,0.8957,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/glove2m/ndp_base/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_base.yaml,,0.020913242,400.49600220249545,0.7097039955577961,Measured Figure 14 QPS
k10,glove2m,GloVe2M,GV,NMP-FPMA,ndp_fpma,8375.669814093319,0.8957,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/glove2m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.01208361,693.1430105815497,1.2282928203961492,Use current Figure 14 NMP-FPMA QPS
k10,glove2m,GloVe2M,GV,NMP-FPSA,ndp_fpma,8375.669814093319,0.8957,measured_reused,latest_recall_gt0895:reused,simulator/run_case/figure14_recall_gt0895/provenance/reused_results/k10/glove2m/ndp_fpma/stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,direct_ndp_fpma_measurement,0.009678554,865.3844173513232,1.5335153792051077,Derived: reuse current Figure 14 NMP-FPMA QPS
k10,glove2m,GloVe2M,GV,NMP-Base-ET,mfnns,23020.41437877719,0.9002,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_glove2m_mfnns_ef0520_q0900_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml,,0.020913242,1100.75780592876,1.9506117631957887,Derived: reuse current Figure 14 MFNNS QPS and NMP-Base area
k10,glove2m,GloVe2M,GV,MFNNS,mfnns,23020.41437877719,0.9002,measured_completion,latest_recall_gt0895:completion,memory/20260722/001_figure14_final_recall_gt0895_completion/logs/formal/formal_k10_glove2m_mfnns_ef0520_q0900_npq1000_stats.yml,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml,,0.009678554,2378.4972815957,4.214846128022865,Measured Figure 14 QPS
