top_k,dataset_key,dataset_label,dataset_short,method,qps_source_design,trace_design,qps,recall,power_w,total_energy_nj,energy_efficiency_qps_per_w,energy_efficiency_norm_to_cpu,config_ref,trace_table_ref,data_status
k10,deep10m,Deep10M,DP,CPU,cpu,cpu,108680.90051363953,0.9008,2.0305191465017183,18683311.7586,53523.70141442917,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,deep10m,Deep10M,DP,CAGRA,gpu_cagra,,599500.5293983769,0.908999999999996,98.97,,6057.396477704122,0.11317222683839165,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,deep10m,Deep10M,DP,BANG,bang,,55555.56,0.9079,22.302384341637115,,2491.014375367989,0.04654039817015439,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,deep10m,Deep10M,DP,ANSMET,ansmet,ansmet,1823677.7196733793,0.9016,10.204074196966312,5595327.55535,178720.5467611713,3.3390916928064134,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-Base,ndp_base,ndp_base,1201067.7492290647,0.8983,9.709321425066884,8083908.198600001,123702.54280883391,2.311173172629007,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-FPMA,ndp_fpma,ndp_fpma,1201067.7492290647,0.8983,9.016180676381305,7506804.4098000005,133212.47569665164,2.4888502135754687,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-FPSA,ndp_fpma,ndp_fpma,1201067.7492290647,0.8983,8.92796276291223,7433354.836680001,134528.75881364968,2.513442741412925,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-Base-ET,ndp_et,ndp_et,1383307.6268666007,0.9026,9.548755959635082,6902843.426999999,144867.83751874894,2.7066109721569966,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-FPSA-ET,ndp_et,ndp_et,1383307.6268666007,0.9026,8.292558442340278,5994731.960759999,166813.1296854884,3.1166217073417526,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,MFNNS,mfnns,mfnns,1970205.5663232761,0.9026,8.950716815694658,4543037.01537,220117.07072092977,4.112515855668935,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,CPU,cpu,cpu,681.3666124835703,0.9009,1.7054362741795703,2502964252.9199996,399.5262812217088,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,glove2m,GloVe2M,GV,CAGRA,gpu_cagra,,22652.981249525645,0.9135999999999974,143.46291666666667,,157.90130143638032,0.3952213129848053,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,glove2m,GloVe2M,GV,BANG,bang,,11634.2,0.9091,59.38699999999998,,195.90482765588436,0.4903427805971318,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,glove2m,GloVe2M,GV,ANSMET,ansmet,ansmet,11801.638241462078,0.9007,11.804639452991704,1000254304.6539999,999.7457600004152,2.5023278992893765,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-Base,ndp_base,ndp_base,8375.669814093319,0.8957,10.942770087821724,1306494922.87875,765.406724885379,1.9157856713326764,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-FPMA,ndp_fpma,ndp_fpma,8375.669814093319,0.8957,10.095899599327847,1205384145.19875,829.6110447305699,2.0764867887882312,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-FPSA,ndp_fpma,ndp_fpma,8375.669814093319,0.8957,9.988116082610448,1192515500.76675,838.5635233730977,2.098894522805508,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-Base-ET,ndp_et,ndp_et,21948.60742716183,0.9002,12.944295448948752,589754748.30945,1695.6200910065252,4.244076474322289,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-FPSA-ET,ndp_et,ndp_et,21948.60742716183,0.9002,9.499991690267398,432828903.69213,2310.381750085935,5.782802931063843,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,MFNNS,mfnns,mfnns,23020.41437877719,0.9002,9.659853071879718,419621163.76085997,2383.1019175426886,5.964818910674453,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,sift1m,SIFT1M,SF,CPU,cpu,cpu,155607.99545002222,0.9046,2.368642905061228,15221858.6083,65694.99991641832,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,sift1m,SIFT1M,SF,CAGRA,gpu_cagra,,504396.5936124024,0.8828999999999958,121.75533333333333,,4142.706358755557,0.06305969044868241,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,sift1m,SIFT1M,SF,BANG,bang,,83333.33,0.939,59.41128205128213,,1402.6516029071556,0.02135096437615808,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,sift1m,SIFT1M,SF,ANSMET,ansmet,ansmet,2419301.184852755,0.9021,10.112740393862232,4180025.39625,239232.99626292312,3.641570843554178,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-Base,ndp_base,ndp_base,1701497.7433886179,0.9007,9.392626355264222,5520210.87995,181152.49974092614,2.75747773759648,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-FPMA,ndp_fpma,ndp_fpma,1701497.7433886179,0.9007,8.698981926435744,5112543.91035,195597.3420542301,2.977355084908782,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-FPSA,ndp_fpma,ndp_fpma,1701497.7433886179,0.9007,8.610699908221212,5060659.02331,197602.72237150942,3.0078807005542756,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-Base-ET,ndp_et,ndp_et,1905673.9058454165,0.8994,9.624282857081601,5050330.398899999,198006.84727831028,3.0140322327456905,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-FPSA-ET,ndp_et,ndp_et,1905673.9058454165,0.8994,8.213535895378502,4310042.69418,232016.2631684217,3.531718752775838,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,MFNNS,mfnns,mfnns,2586912.16463109,0.8994,8.981293050790788,3471819.86833,288033.3767088601,4.384403334733479,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,t2i1m,T2I1M,T2I,CPU,cpu,cpu,30277.456174422976,0.9078,1.7638253868068028,58255402.192499995,17165.789993099446,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/cpu.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,historical_cpu_energy_estimate
k10,t2i1m,T2I1M,T2I,CAGRA,gpu_cagra,,478490.53585902206,0.9089999999999969,133.8035294117647,,3576.068119896325,0.2083252865923377,,MFANNS/gpu_cagra/gpu_ada_6000,external_measurement
k10,t2i1m,T2I1M,T2I,BANG,bang,,69047.62,0.9386,58.35317647058813,,1183.2709747138138,0.06893192653466472,,MFANNS/figure/evaluation/power/data/BANG.csv,external_measurement
k10,t2i1m,T2I1M,T2I,ANSMET,ansmet,ansmet,453592.137887474,0.9066,10.829103857744434,23874099.556,41886.39649651966,2.4401088742992756,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,t2i1m,T2I1M,T2I,NMP-Base,ndp_base,ndp_base,335757.9722233026,0.8986,10.220362132040743,30439670.767500002,32851.86648824355,1.9137986950469403,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
