top_k,dataset_key,dataset_label,dataset_short,method,trace_design,trace_source_design,compute_formula,compute_energy_nj,memory_energy_nj,total_energy_nj,compute_energy_norm_to_nmp_base,memory_energy_norm_to_nmp_base,total_energy_norm_to_nmp_base,config_ref,trace_table_ref,data_status
k10,deep10m,Deep10M,DP,NMP-Base,ndp_base,ndp_base,s_fmac_ops * 1.7 pJ,891887.6736,7192020.525,8083908.198600001,0.11032877312417529,0.8896712268758247,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,ANSMET,ansmet,ansmet,s_fmac_ops * 1.7 pJ,917625.4016,4677702.15375,5595327.55535,0.1135125955238974,0.5786436509212339,0.6921562464451314,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-FPMA,ndp_fpma,ndp_fpma,s_fmac_ops * 0.6 pJ,314783.8848,7192020.525,7506804.4098000005,0.03893956698500304,0.8896712268758247,0.9286107938608277,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-FPSA,ndp_fpma,ndp_fpma,s_fmac_ops * 0.46 pJ,241334.31168,7192020.525,7433354.836680001,0.02985366802183567,0.8896712268758247,0.9195248948976604,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-Base-ET,mfnns,mfnns,phase1_ops * 1.7 pJ + phase2_fmac_ops * 1.7 pJ,1046256.9624,4451728.10625,5497985.06865,0.12942464668032652,0.5506900866366797,0.6801147333170062,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,NMP-FPSA-ET,ndp_et,ndp_et,phase1_ops * 2 * 0.06 pJ + phase2_fmac_ops * 0.28 pJ,82073.52576,5912658.435,5994731.960759999,0.010152703833798333,0.7314108831696003,0.7415635870033986,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,deep10m,Deep10M,DP,MFNNS,mfnns,mfnns,phase1_ops * 2 * 0.06 pJ + phase2_fmac_ops * 0.28 pJ,91308.90912000001,4451728.10625,4543037.01537,0.011295144239244726,0.5506900866366797,0.5619852308759244,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-Base,ndp_base,ndp_base,s_fmac_ops * 1.7 pJ,156262110.96,1150232811.91875,1306494922.87875,0.1196040705735693,0.8803959294264306,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,ANSMET,ansmet,ansmet,s_fmac_ops * 1.7 pJ,174520295.104,825734009.55,1000254304.6539999,0.1335790075015825,0.6320223638761377,0.7656013713777202,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-FPMA,ndp_fpma,ndp_fpma,s_fmac_ops * 0.6 pJ,55151333.28,1150232811.91875,1205384145.19875,0.042213201378906814,0.8803959294264306,0.9226091308053375,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-FPSA,ndp_fpma,ndp_fpma,s_fmac_ops * 0.46 pJ,42282688.848,1150232811.91875,1192515500.76675,0.03236345439049522,0.8803959294264306,0.9127593838169259,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,NMP-Base-ET,mfnns,mfnns,phase1_ops * 1.7 pJ + phase2_fmac_ops * 1.7 pJ,170036749.1754,406632803.9475,576669553.1229,0.13014727129649958,0.3112394827004144,0.441386753996914,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,glove2m,GloVe2M,GV,NMP-FPSA-ET,ndp_et,ndp_et,phase1_ops * 2 * 0.06 pJ + phase2_fmac_ops * 0.28 pJ,12964196.060880002,419864707.63125,432828903.69213,0.009922882847730094,0.3213672707629923,0.3312901536107224,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,glove2m,GloVe2M,GV,MFNNS,mfnns,mfnns,phase1_ops * 2 * 0.06 pJ + phase2_fmac_ops * 0.28 pJ,12988359.81336,406632803.9475,419621163.76085997,0.00994137794637675,0.3112394827004144,0.32118086064679113,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,sift1m,SIFT1M,SF,NMP-Base,ndp_base,ndp_base,s_fmac_ops * 1.7 pJ,630030.7712,4890180.10875,5520210.87995,0.11413164911658348,0.8858683508834164,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,ANSMET,ansmet,ansmet,s_fmac_ops * 1.7 pJ,711584.64,3468440.75625,4180025.39625,0.12890533631324702,0.6283167131979958,0.7572220495112428,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-FPMA,ndp_fpma,ndp_fpma,s_fmac_ops * 0.6 pJ,222363.8016,4890180.10875,5112543.91035,0.04028175851173535,0.8858683508834164,0.9261501093951517,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-FPSA,ndp_fpma,ndp_fpma,s_fmac_ops * 0.46 pJ,170478.91456,4890180.10875,5060659.02331,0.030882681525663768,0.8858683508834164,0.9167510324090803,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,NMP-Base-ET,mfnns,mfnns,phase1_ops * 1.7 pJ + phase2_fmac_ops * 1.7 pJ,806742.5174,3395194.91625,4201937.43365,0.1461434236742976,0.6150480461863718,0.7611914698606694,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,sift1m,SIFT1M,SF,NMP-FPSA-ET,ndp_et,ndp_et,phase1_ops * 2 * 0.06 pJ + phase2_fmac_ops * 0.28 pJ,78630.33168,4231412.3625,4310042.69418,0.014244081139290137,0.7665309269015329,0.780775008040823,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_et.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,sift1m,SIFT1M,SF,MFNNS,mfnns,mfnns,phase1_ops * 2 * 0.06 pJ + phase2_fmac_ops * 0.28 pJ,76624.95208,3395194.91625,3471819.86833,0.013880801611820677,0.6150480461863718,0.6289288477981926,simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_completion
k10,t2i1m,T2I1M,T2I,NMP-Base,ndp_base,ndp_base,s_fmac_ops * 1.7 pJ,3337386.96,27102283.8075,30439670.767500002,0.10963939082952501,0.890360609170475,1.0,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_base.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
k10,t2i1m,T2I1M,T2I,ANSMET,ansmet,ansmet,s_fmac_ops * 1.7 pJ,3981060.136,19893039.42,23874099.556,0.1307852560695407,0.6535234750712059,0.7843087311407466,simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ansmet.yaml,simulator/run_case/figure14_recall_gt0895/results/paper_energy/k10/execution_traces.csv,measured_reused
