dataset	recall_tag	k	ef	trial	recall	qps	threads	nq	query_ops	warmup_queries	avg_results_per_query	raw_source_file
t2i1b	r10	10	30	2	0.476	180445.815	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	40	3	0.534	150738.26	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	60	2	0.617	111120.837	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	100	2	0.695	68231.706	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	150	2	0.762	53486.858	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	300	2	0.839	29288.731	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	1000	2	0.912	9429.605	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
t2i1b	r10	10	3000	1	0.961	3226.967	96	100	50000	10000	10	t2i1b_norml2_r10_fresh_n100.tsv
deep1b	r10	10	10	3	0.502	482892.108	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	12	3	0.526	474070.474	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	20	1	0.606	430342.525	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	40	3	0.738	273038.334	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	100	3	0.855	134806.086	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	200	2	0.913	65158.87	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	300	3	0.94	47588.567	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
deep1b	r10	10	500	3	0.971	29317.449	96	100	50000	10000	10	deep1b_r10_fresh_n100.tsv
t2i1b	r100	100	60	3	0.5016	77196.559	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	100	3	0.6053	73915.648	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	150	1	0.6792	51243.233	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	300	1	0.7859	28949.773	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	500	3	0.8383	18082.588	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	1500	2	0.9245	6279.223	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	3000	3	0.955	3217.164	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
t2i1b	r100	100	5000	3	0.9697	1591.392	96	100	50000	10000	100	t2i1b_norml2_r100_fresh_n100.tsv
deep1b	r100	100	30	1	0.499	237035.183	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
deep1b	r100	100	40	1	0.5698	192819.295	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
deep1b	r100	100	60	1	0.6443	143636.523	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
deep1b	r100	100	100	1	0.7426	108243.686	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
deep1b	r100	100	150	1	0.8061	92822.127	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
deep1b	r100	100	300	2	0.8998	46001.645	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
deep1b	r100	100	700	1	0.9574	21021.805	96	100	50000	10000	100	deep1b_r100_fresh_n100.tsv
