dataset	metric	k	ef	trial	recall	qps	threads	nq	query_ops	warmup_queries	avg_results_per_query	source_file
deep1b	R@10	10	10	1	0.502	480902.034	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	10	2	0.502	483826.915	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	10	3	0.502	482892.108	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	12	1	0.526	476529.843	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	12	2	0.526	475823.444	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	12	3	0.526	474070.474	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	20	1	0.606	430342.525	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	20	2	0.606	433345.743	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	20	3	0.606	431297.102	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	40	1	0.738	275572.553	96	100	50000	10000	10	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
