dataset	metric	k	ef	trials	recall_median	recall_mean	qps_median	qps_mean	qps_std	qps_min	qps_max	avg_results_per_query_median	threads	nq	query_ops	warmup_queries	source_file
deep1b	R@10	10	10	3	0.502	0.502	482892.108	482540.352	1493.83107	480902.034	483826.915	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	12	3	0.526	0.526	475823.444	475474.587	1266.25427	474070.474	476529.843	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	20	3	0.606	0.606	431297.102	431661.79	1534.46329	430342.525	433345.743	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	40	3	0.738	0.738	274507.531	274372.806	1272.46988	273038.334	275572.553	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	100	3	0.855	0.855	135708.466	135414.096	526.639953	134806.086	135727.735	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	200	3	0.913	0.913	71394.151	69377.096	3654.25062	65158.87	71578.267	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	300	3	0.94	0.94	47995.231	48066.8593	517.835357	47588.567	48616.78	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@10	10	500	3	0.971	0.971	29346.683	29338.8607	18.7659046	29317.449	29352.45	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r10_fresh_n100.tsv
deep1b	R@100	100	30	3	0.499	0.499	238135.948	238393.934	1504.42619	237035.183	240010.67	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	40	3	0.5698	0.5698	193492.042	193600.337	840.439317	192819.295	194489.675	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	60	3	0.6443	0.6443	143644.916	144208.922	984.163969	143636.523	145345.326	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	100	3	0.7426	0.7426	134048.157	125600.826	15033.503	108243.686	134510.636	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	150	3	0.8061	0.8061	92997.813	93201.2893	512.169166	92822.127	93783.928	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	300	3	0.8998	0.8998	47092.084	46887.3213	803.116971	46001.645	47568.235	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	700	3	0.9574	0.9574	21079.183	21110.9603	108.589093	21021.805	21231.893	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100.tsv
deep1b	R@100	100	1000	3	0.9701	0.9701	14723.655	14730.3613	20.6356629	14713.913	14753.516	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/deep1b_r100_fresh_n100_extra_ef1000.tsv
t2i1b_norml2	R@10	10	30	3	0.476	0.476	180445.815	173536.268	14556.4365	156811.85	183351.139	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	40	3	0.534	0.534	151341.697	151320.164	571.442348	150738.26	151880.536	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	60	3	0.617	0.617	111487.294	111525.042	424.339583	111120.837	111966.994	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	100	3	0.695	0.695	75269.415	73348.604	4477.00414	68231.706	76544.691	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	150	3	0.762	0.762	54885.381	54525.029	912.987181	53486.858	55202.848	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	300	3	0.839	0.839	29325.982	29364.4837	100.684898	29288.731	29478.738	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	1000	3	0.912	0.912	9458.636	9481.69967	66.6879378	9429.605	9556.858	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@10	10	3000	3	0.961	0.961	3242.085	3242.11067	15.1565163	3226.967	3257.28	10	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r10_fresh_n100.tsv
t2i1b_norml2	R@100	100	60	3	0.5016	0.5016	44196.999	54199.2703	19972.3708	41204.253	77196.559	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	100	3	0.6053	0.6053	75630.413	75256.165	1198.06577	73915.648	76222.434	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	150	3	0.6792	0.6792	53666.994	53045.689	1585.87282	51243.233	54226.84	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	300	3	0.7859	0.7859	29314.682	29307.114	353.617743	28949.773	29656.887	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	500	3	0.8383	0.8383	18104.568	18108.0623	27.389192	18082.588	18137.031	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	1500	3	0.9245	0.9245	6288.928	6305.976	38.241894	6279.223	6349.777	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	3000	3	0.955	0.955	3234.265	3232.098	13.9770622	3217.164	3244.865	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
t2i1b_norml2	R@100	100	5000	3	0.9697	0.9697	1993.028	1860.155	232.760474	1591.392	1996.045	100	96	100	50000	10000	/hpc2hdd/home/rmeng603/workspace/CPU_HNSW/memory/20260615/004_hnswlib_cpu_fresh_qps_recall/results/t2i1b_norml2_r100_fresh_n100.tsv
