k	L	recall_percent	median_last3_qps	source
10	10	46.43	263157.89	20260615_main
10	15	56.58	172413.79	20260615_extra
10	20	63.31	188679.25	20260615_main
10	30	71.84	151515.15	20260615_extra
10	40	76.91	116279.07	20260615_main
10	60	83.43	80000.00	20260615_extra
10	80	87.06	77519.38	20260615_main
10	160	93.27	43668.12	20260615_main
10	320	96.68	23752.97	20260615_main
10	512	97.95	14577.26	20260615_retest
100	100	59.18	71428.57	20260615_main
100	130	66.95	37735.85	20260615_extra
100	160	72.60	46948.36	20260615_main
100	200	78.06	35971.22	20260615_extra
100	240	81.96	32679.74	20260615_main
100	280	84.83	25839.79	20260615_extra
100	320	87.05	22779.04	20260615_main
100	512	92.85	14347.20	20260615_main
