dataset,dataset_label,recall_tag,recall_label,method,method_label,recall_raw,recall_2dp,qps,cycle,ef,lbq,data_status,config_ref
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.476000,0.48,180445.815000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.534000,0.53,150738.260000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.617000,0.62,111120.837000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.695000,0.70,68231.706000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.762000,0.76,53486.858000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.839000,0.84,29288.731000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.912000,0.91,9429.605000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,cpu,CPU,0.961000,0.96,3226.967000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.450000,0.45,121559.650000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.510000,0.51,96965.360000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.553000,0.55,88290.880000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.614908,0.61,68841.230000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.658603,0.66,60327.710000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.706501,0.71,46720.010000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.750698,0.75,36759.140000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.798095,0.80,26772.240000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.824199,0.82,21122.270000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.837607,0.84,18805.530000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.854800,0.85,16312.980000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,bang,BANG,0.861797,0.86,15254.960000,,,,external_frozen_plot_input,
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.448000,0.45,630795.433041,380472,10,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0010_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.530000,0.53,441930.351777,543072,15,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0015_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.667000,0.67,220522.970224,1088322,30,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0030_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.709000,0.71,164524.759948,1458747,40,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0040_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.751000,0.75,126542.433632,1896597,50,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0050_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.770000,0.77,98534.423617,2435697,60,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0060_queue0033.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.810000,0.81,53077.711077,4521672,100,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0100_queue0033.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.840000,0.84,41711.223813,5753847,120,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0120_queue0033.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.875000,0.88,38517.110504,6230997,130,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0130_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.880000,0.88,32026.274355,7493847,150,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0150_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.910000,0.91,22004.021785,10907097,200,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0200_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.930000,0.93,13307.884223,18034422,300,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0300_queue0033.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.950000,0.95,7277.524485,32978247,500,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0500_queue0100.yaml
t2i1b,T2I1B,r10,Recall@10,ansmet,ANSMET,0.960000,0.96,5923.622734,40515747,600,,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0600_queue0033.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.448000,0.45,808906.055673,296697,10,50,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0010_lbq0050.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.492000,0.49,590628.206927,406347,15,60,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0015_lbq0060.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.510000,0.51,512577.367146,468222,15,100,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0015_lbq0100.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.650000,0.65,282561.704412,849372,30,120,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0030_lbq0120.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.702000,0.70,195946.839622,1224822,40,200,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0040_lbq0200.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.750000,0.75,143762.332113,1669422,50,300,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0050_lbq0300.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.800000,0.80,115369.528600,2080272,60,400,verified_original_yaml_stats,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0060_lbq0400.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.832000,0.83,61663.274330,3892106,100,650,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0100_lbq0650.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.860000,0.86,48210.225509,4978197,120,800,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0120_lbq0800.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.890000,0.89,38382.669457,6252822,150,800,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0150_lbq0800.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.904000,0.90,27071.163999,8865522,200,1000,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0200_lbq1000.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.930000,0.93,20531.514720,11689347,250,1200,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0250_lbq1200.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.944000,0.94,16558.607951,14493972,300,1500,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0300_lbq1500.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.950000,0.95,11601.770952,20686497,400,2200,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0400_lbq2200.yaml
t2i1b,T2I1B,r10,Recall@10,mfnns,MFNNS,0.960000,0.96,8954.331120,26802672,500,2800,reconstructed_from_same_panel_template,ae/figure18/configs/t2i1b/r10/mfnns/mfnns_ef0500_lbq2800.yaml
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.502000,0.50,482892.108000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.526000,0.53,474070.474000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.606000,0.61,430342.525000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.738000,0.74,273038.334000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.855000,0.86,134806.086000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.913000,0.91,65158.870000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.940000,0.94,47588.567000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,cpu,CPU,0.971000,0.97,29317.449000,,,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,bang,BANG,0.464300,0.46,263158.000000,,10,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,bang,BANG,0.565800,0.57,200000.000000,,15,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,bang,BANG,0.633100,0.63,188679.250000,,20,,external_frozen_plot_input,
deep1b,DEEP1B,r10,Recall@10,bang,BANG,0.718400,0.72,153846.150000,,30,,external_frozen_plot_input,
