point_id	dataset	recall_tag	method	plot_recall_raw	plot_recall_2dp	plot_qps	plot_cycle	ef	lbq	source_queue	config_status	portable_config_ref	portable_config_sha256	source_yaml_ref	source_yaml_sha256	source_stats_ref	source_stats_sha256	source_recall	source_cycle	source_qps_2p4ghz	recall_delta_plot_minus_source	cycle_delta_plot_minus_source	note
t2i1b.r10.ansmet.ef0010.queue0100	t2i1b	r10	ansmet	0.448000	0.45	630795.433041	380472	10		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0010_queue0100.yaml	c137b6e3fae7d9f0c9c5bafeeb6fce92186d5c7122edc15668a2478260586822	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/yamls/t2i1b_ansmet_r10_top100gt_ef0010_q0100.yaml	73e09ab051b5da7aabf08bf0c605b253bd884263c8a1f87261aa5df16ac4fa8b	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/logs/t2i1b_ansmet_r10_top100gt_ef0010_q0100_stats.yml	2e1783457fe9534795a93aebd469b0fcd1c219554e420f5d5e46a50d8b811c54	0.448	380472	630795.433041	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0015.queue0100	t2i1b	r10	ansmet	0.530000	0.53	441930.351777	543072	15		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0015_queue0100.yaml	fe08e31abfb30d207b88e16aaabc84aa2626e08159c17bdaaaac8e1fd3d446a0	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/yamls/t2i1b_ansmet_r10_top100gt_ef0015_q0100.yaml	1064dab19916f82bb6b38c7a20b9a168afe14b4e7e20ed6b7484e65dab5c1d56	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/logs/t2i1b_ansmet_r10_top100gt_ef0015_q0100_stats.yml	05fc506378a2846e9c5cf94276a939935c570bf5347138952cbf11e2368a0805	0.531	543072	441930.351777	-0.001	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0030.queue0100	t2i1b	r10	ansmet	0.667000	0.67	220522.970224	1088322	30		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0030_queue0100.yaml	d8452cebdace4fbe5b44666bb0398049bde8918f952816c3eaf82cdcae91588a	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/yamls/t2i1b_ansmet_r10_top100gt_ef0030_q0100.yaml	e2b7a4dafc7fff58733bd50e92383aa489cbf09629bb6765c47e6618d29d20b4	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/logs/t2i1b_ansmet_r10_top100gt_ef0030_q0100_stats.yml	e7c9d88cf4e75f90532e3fb60c875ea03b4e84fe7623e70d2aabe55edb3aca3a	0.667	1088322	220522.970224	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0040.queue0100	t2i1b	r10	ansmet	0.709000	0.71	164524.759948	1458747	40		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0040_queue0100.yaml	f6b8ed1dedc71a72d3af990f2e9445b0e9762967003db65a01e0fc33723c0233	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/yamls/t2i1b_ansmet_r10_top100gt_ef0040_q0100.yaml	b3bc751e8444bddc12346d0aaf806ff628c61af02b426de3aea2273fccaa16d9	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/logs/t2i1b_ansmet_r10_top100gt_ef0040_q0100_stats.yml	214b6a44045c992cbc42b0588c00f1d25e6799c76f9ee4f7008ef9f8a0cc4080	0.709	1458747	164524.759948	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0050.queue0100	t2i1b	r10	ansmet	0.751000	0.75	126542.433632	1896597	50		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0050_queue0100.yaml	e19dc04757273e6c3648e49b691b457cd9c9aa12501ef258c8fd6f427874a360	MFANNS/simulator/memory/20260614/015_t2i1b_ansmet_r100_lowef_r10_50_135/yamls/t2i1b_r10_ansmet_requested_ef0050_q0100.yaml	c5c2ad040f5ed0ec9a0ee2763ab9b5e14fb626c2f4f562f9363ffdeda01de5c5	MFANNS/simulator/memory/20260614/015_t2i1b_ansmet_r100_lowef_r10_50_135/logs/t2i1b_r10_ansmet_requested_ef0050_q0100_stats.yml	35f007a9d5cc61b263d764cf2c73442c2044e7bcd8c45d14bb07ea85b69b28bd	0.751	1896597	126542.433632	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0060.queue0033	t2i1b	r10	ansmet	0.770000	0.77	98534.423617	2435697	60		33	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0060_queue0033.yaml	0ffb30e52913def8ddc36b858cf8ede6249bc2524574341cc9013d3a62b51d18	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/t2i1b_ansmet_k10_curvefill_ef0060_q0033.yaml	de5512667e31221ccb555e79edde5e4ad37512ce75dd1de775a213ac2fbb403b	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/t2i1b_ansmet_k10_curvefill_ef0060_q0033_stats.yml	b76b9e5a340e9d1c5fe2bb3778d5ad4f923a05af70ffcf31ecd69b8a95431bfe	0.772	2435697	98534.423617	-0.002	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0100.queue0033	t2i1b	r10	ansmet	0.810000	0.81	53077.711077	4521672	100		33	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0100_queue0033.yaml	67a2df15d4a51fcf32720bb1acbeb9b2361720ee496ccd28d4fec84f6f813f61	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/yamls_t2i1b_ansmet_q100_ef80_100/t2i1b_ansmet_k10_q100_ef100.yaml	ebc3e0575f52b4ec1509547ce553dd307329e87cee45fb914e04318644dbca37	MFANNS/simulator/memory/20260329/deep1b_t2i1b_k10_bandsearch/logs_t2i1b_ansmet_q100_ef80_100/t2i1b_ansmet_k10_q100_ef100_stats.yml	f2fc44819f0de7e229bcb6698f286e115d2f6e209550b18ecfd87ea31df6697c	0.812	4521672	53077.711077	-0.002	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0120.queue0033	t2i1b	r10	ansmet	0.840000	0.84	41711.223813	5753847	120		33	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0120_queue0033.yaml	822d622d40c55ea10397a51d04eaa2305efb8dffc1206d49cc6561cc633e3898	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/yamls_round4_curve_fill/t2i1b_ansmet_k10_curvefill_ef0120_q0033.yaml	911c9ba845a79adaef27cdb9736f2374e5b556891f26196b1ac5bb3cb7473943	MFANNS/simulator/memory/20260605/002_deep1b_t2i1b_k10_recall75_99_ansmet_mfnns/logs_round4_curve_fill/t2i1b_ansmet_k10_curvefill_ef0120_q0033_stats.yml	c009055160c5f9cd4108a4dd08eecd5a78d925ab2da07f9013ada63ff6d68382	0.84	5753847	41711.223813	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0130.queue0100	t2i1b	r10	ansmet	0.875000	0.88	38517.110504	6230997	130		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0130_queue0100.yaml	8c66049879a5e1e14698f56ca731bde7add0f28ffab818955507edbae9c5f502	MFANNS/simulator/memory/20260614/016_t2i1b_r10_ansmet_ef130_135_140/yamls/t2i1b_r10_ansmet_requested_ef0130_q0100.yaml	bbc2cd0bd79b6573fd6049301ededf16f52d544f0fb7d3a03939981241ea6d4f	MFANNS/simulator/memory/20260614/016_t2i1b_r10_ansmet_ef130_135_140/logs/t2i1b_r10_ansmet_requested_ef0130_q0100_stats.yml	a968e463bc7dcc53b76fb4f35aa5ff76ba6c725dc2ccecf07d61d15196b9f5d1	0.875	6230997	38517.110504	0	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
t2i1b.r10.ansmet.ef0150.queue0100	t2i1b	r10	ansmet	0.880000	0.88	32026.274355	7493847	150		100	verified_original_yaml_stats	ae/figure18/configs/t2i1b/r10/ansmet/ansmet_ef0150_queue0100.yaml	502718d05580c807181436591fa306969f1edd2e2c995c88be26a955f76a20a2	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/yamls/t2i1b_ansmet_r10_top100gt_ef0150_q0100.yaml	d429e01be39498d9afc1353e318e70a3a2bdd9943d72cef74b4a7b58aa8202ff	MFANNS/simulator/memory/20260613/003_recall10_t2i1b_ansmet_top100gt_qps_curve/logs/t2i1b_ansmet_r10_top100gt_ef0150_q0100_stats.yml	ba6986b6933a21fab94f0d64003008fe68cde602d0027a24fe9ab29437d82289	0.883	7493847	32026.274355	-0.003	0	Original YAML and stats match dataset/method/k/ef/lbq/cycle.
