metric	value
plot_rows	177
simulator_rows	108
recall_digits	2
recall_rounding	ROUND_HALF_UP
config_status:original_yaml_cycle_mismatch	1
config_status:reconstructed_from_same_panel_template	19
config_status:verified_original_yaml_stats	88
points:deep1b:r10:ansmet	14
points:deep1b:r10:bang	10
points:deep1b:r10:cpu	8
points:deep1b:r10:mfnns	16
points:deep1b:r100:ansmet	11
points:deep1b:r100:bang	8
points:deep1b:r100:cpu	7
points:deep1b:r100:mfnns	13
points:t2i1b:r10:ansmet	14
points:t2i1b:r10:bang	12
points:t2i1b:r10:cpu	8
points:t2i1b:r10:mfnns	15
points:t2i1b:r100:ansmet	11
points:t2i1b:r100:bang	8
points:t2i1b:r100:cpu	8
points:t2i1b:r100:mfnns	14
