panel,dataset,recall_tag,paper_metric,frontier_rank,case_name,group_tag,recall,qps_2p4ghz,s_mem_cycle,plot_input,point_within_xlim,data_status,source_experiment,test_record_ref,yaml_generator_ref,result_summarizer_ref,final_selection_script_ref,rtc_extraction_script_ref,case_manifest_ref,yaml_ref,yaml_sha256,stats_ref,stats_sha256,yaml_ef_search,yaml_queue_size,yaml_warmup_size,yaml_gt_k,yaml_k_neighbors,yaml_n_query_limit,yaml_n_parallel_query,yaml_mfnns_enable,yaml_early_exit_enable,yaml_lb_et_enable,yaml_row_policy,stats_recall,stats_mem_cycle,stats_num_query
SIFT1M Recall@1,sift1m,r1,R1@100,1,sift1m_r1_mfnns_lbqfill_ef001_q032,lbqfill,0.381,9098767.117,263772,1,0,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef001_q032.yaml,d8dc6cc52e173ffbf44f4f8272bf64558dd6a7cc3e670f9eda624b684b36e5d0,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef001_q032_stats.yml,40b5d9d05af637cc14b8c399c50f78524ee97ed1e9ac42d331d4faf0bf76b93f,1,32,31,100,1,1000,1000,1,0,1,OpenRowPolicy,0.381,263772,1000
SIFT1M Recall@1,sift1m,r1,R1@100,2,sift1m_r1_mfnns_lbqfill_ef002_q016,lbqfill,0.637,6496195.665,369447,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef002_q016.yaml,a08f856d37e6c75c909d264aecf517de823e4d755814da51b9ddba6d19c3c922,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef002_q016_stats.yml,18f105fccaff242d5bc293ccc8a306951857d3d851ebc621246441f5d0cbcb9a,2,16,15,100,1,1000,1000,1,0,1,OpenRowPolicy,0.637,369447,1000
SIFT1M Recall@1,sift1m,r1,R1@100,3,sift1m_r1_mfnns_lowef_ef003_q001,lowef,0.747,5278820.711,454647,1,1,measured_completed_simulator,20260612/003_sift_mfnns_lowef_subef_pareto,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/TEST_RECORD.md,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/generate_submit_sift_mfnns_refine.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/summarize_sift_mfnns_refine.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/case_manifest.tsv,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/yamls/sift1m_r1_mfnns_lowef_ef003_q001.yaml,a8e9ae3c7054cf345bed6bde5fc733f5962024f4d66a2f61db4fb23ff07ea6fc,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/logs/sift1m_r1_mfnns_lowef_ef003_q001_stats.yml,3d50703c1cd00b73bb69a6ea340d3421c50468d03fcb63343edfe85c9d7a6828,3,1,0,100,1,1000,1000,1,0,1,OpenRowPolicy,0.747,454647,1000
SIFT1M Recall@1,sift1m,r1,R1@100,4,sift1m_r1_mfnns_lbqfill_ef003_q024,lbqfill,0.748,5143073.887,466647,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef003_q024.yaml,245782b602a6dfa3c00e11e830f1093efafe49715cb4b1d46f1412e766f9ecf6,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef003_q024_stats.yml,23311d0500db4d70ec5ac81042adfcfe6af843660dea389d387750b4b46316a1,3,24,23,100,1,1000,1000,1,0,1,OpenRowPolicy,0.748,466647,1000
SIFT1M Recall@1,sift1m,r1,R1@100,5,sift1m_r1_mfnns_lowef_ef004_q001,lowef,0.795,4497565.693,533622,1,1,measured_completed_simulator,20260612/003_sift_mfnns_lowef_subef_pareto,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/TEST_RECORD.md,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/generate_submit_sift_mfnns_refine.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/summarize_sift_mfnns_refine.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/case_manifest.tsv,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/yamls/sift1m_r1_mfnns_lowef_ef004_q001.yaml,23c2a36aaaaa42cdced32b19cccffa8e836746d3133fcbd2fb1b1fd4f939cb60,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/logs/sift1m_r1_mfnns_lowef_ef004_q001_stats.yml,70ec135902306bce1fb01c7b01d6cebcf2a1e2e13f38b540881fd446686cee17,4,1,0,100,1,1000,1000,1,0,1,OpenRowPolicy,0.795,533622,1000
SIFT1M Recall@1,sift1m,r1,R1@100,6,sift1m_r1_mfnns_lbqfill_ef004_q008,lbqfill,0.805,4419303.518,543072,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef004_q008.yaml,bd3ab27713f787e58e2b6a3be9663651e051c0a65e5270977e6e67a1a8037112,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef004_q008_stats.yml,def09c0cfbf4da8aac55bb930422c8eb77bccd5bae7f2f0a7a3cf56222da0a27,4,8,7,100,1,1000,1000,1,0,1,OpenRowPolicy,0.805,543072,1000
SIFT1M Recall@1,sift1m,r1,R1@100,7,sift1m_r1_mfnns_lbqfill_ef004_q032,lbqfill,0.806,4230588.21,567297,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef004_q032.yaml,aa1deeb8fe409dfabd903713307b2d74341d1b231aa32f57ca3698e28253ba00,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef004_q032_stats.yml,43bc3795e1b069c17b314b8563c8c2d20f95ffd844c86fa0cbaf5d17958509e7,4,32,31,100,1,1000,1000,1,0,1,OpenRowPolicy,0.806,567297,1000
SIFT1M Recall@1,sift1m,r1,R1@100,8,sift1m_r1_mfnns_lowef_ef005_q001,lowef,0.844,3998020.98,600297,1,1,measured_completed_simulator,20260612/003_sift_mfnns_lowef_subef_pareto,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/TEST_RECORD.md,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/generate_submit_sift_mfnns_refine.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/scripts/summarize_sift_mfnns_refine.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/case_manifest.tsv,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/yamls/sift1m_r1_mfnns_lowef_ef005_q001.yaml,b18ae6bd0fafbf67b4265e49eafc84816c13b26999824d62cadf18d8645e0936,simulator/memory/20260612/003_sift_mfnns_lowef_subef_pareto/logs/sift1m_r1_mfnns_lowef_ef005_q001_stats.yml,25b97e00f89852c4575b7513a4344b4fd5011da9f41e4238f315e66fe97a9a60,5,1,0,100,1,1000,1000,1,0,1,OpenRowPolicy,0.844,600297,1000
SIFT1M Recall@1,sift1m,r1,R1@100,9,sift1m_r1_mfnns_lbqfill_ef005_q010,lbqfill,0.851,3846172.337,623997,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef005_q010.yaml,b6f2c4cb54790401c8918565f4d24d20d705bcb6d76d7812fecf97a7ac86a8c3,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef005_q010_stats.yml,5bbb7bfca3344128457d52bd128e7ba4090414bf45f7a5899abedad05ed72766,5,10,9,100,1,1000,1000,1,0,1,OpenRowPolicy,0.851,623997,1000
SIFT1M Recall@1,sift1m,r1,R1@100,10,sift1m_r1_mfnns_lbqfill_ef005_q040,lbqfill,0.852,3686228.251,651072,1,1,measured_completed_simulator,20260613/006_mfnns_ansmet_lbq_juno_focused,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/TEST_RECORD.md,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/generate_submit_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/scripts/summarize_lbq_tune.py,figure/evaluation/RTC/extract_rtc_data.py,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/case_manifest.tsv,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/yamls/sift1m_r1_mfnns_lbqfill_ef005_q040.yaml,f42bb57bdc053f86b02a6c59f7ce6b5b6326ae6b3b7ac08ef0da7281ac1dc2b4,simulator/memory/20260613/006_mfnns_ansmet_lbq_juno_focused/logs/sift1m_r1_mfnns_lbqfill_ef005_q040_stats.yml,297b597517338849938bad072223bda8cba73fa5f9eca91a30f1ebf1d1672440,5,40,39,100,1,1000,1000,1,0,1,OpenRowPolicy,0.852,651072,1000
