source	dataset	paper_dataset	recall_tag	paper_metric	series	recall	qps	source_detail
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.4169030099886172	1315061.233234503	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.5538014589222631	1149537.8888439718	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.6871001487640175	975366.9661921008	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.8066988663296525	953766.9978914539	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.8952978802511575	759831.4737565177	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.9542972892517023	415523.60792290943	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.9816968755238906	257962.32098690158	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.9940967092108695	146609.266163891	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.9978968662775534	75944.46714079296	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	+HNSW	0.9982968262403542	39115.475831002484	pdf_page=17,drawing=350
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.44000275795065813	15216638.780176003	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.6100009690431765	9342459.458032459	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.769999225652205	5565472.302227998	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.8699981733536865	3054555.496968778	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9199977069177689	1818449.5993647277	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9299975419745754	1319724.8410189745	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9399973770313819	982985.3308016155	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9499973315148715	844108.7011326356	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9599972859983614	733239.1815066105	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9699971210551679	569512.8440644131	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9799969561119743	446052.9492624262	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9899969105954642	241364.59653649468	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9959967877442113	151657.80427365267	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO++ frontier	0.9979967069848992	125163.86099121979	pdf_page=17,drawing=404
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.6000010742730284	3596671.5314314472	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.7199998115148061	2397133.754318016	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.829998594273094	1172767.7296922202	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.8499983838133902	1068518.565012564	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.909997752434279	775682.3990987783	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9199977069177689	678155.7151441802	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9349975789296621	632536.2490833366	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9499973315148715	568716.8205314047	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9599972859983614	535263.6036010162	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9699971210551679	368607.2850559067	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9799969561119743	313774.15139623097	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9899969105954642	241364.59653649468	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9959967877442113	151657.80427365267	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-H	0.9979967069848992	125163.86099121979	pdf_page=17,drawing=361
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.44000275795065813	15216638.780176003	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.6100009690431765	9342459.458032459	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.769999225652205	5565472.302227998	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.8699981733536865	3054555.496968778	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.9199977069177689	1818449.5993647277	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.9299975419745754	1319724.8410189745	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-L	0.9399973770313819	982985.3308016155	pdf_page=17,drawing=396
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9299975419745754	1115134.3873633982	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9499973315148715	844108.7011326356	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9599972859983614	733239.1815066105	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9699971210551679	569512.8440644131	pdf_page=17,drawing=385
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	JUNO-M	0.9799969561119743	446052.9492624262	pdf_page=17,drawing=385
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.381	9098767.117	sift1m_r1_mfnns_lbqfill_ef001_q032
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.637	6496195.665	sift1m_r1_mfnns_lbqfill_ef002_q016
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.747	5278820.711	sift1m_r1_mfnns_lowef_ef003_q001
mfnns_006_current_best_frontier	sift1m	SIFT1M	r1	R1@100	MFNNS frontier	0.748	5143073.887	sift1m_r1_mfnns_lbqfill_ef003_q024
