source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	0	69.185546875	101.39569091796875	0.4169030099886172	6.149748486770042	1411719.7377186138	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	1	86.67665100097656	102.23783111572266	0.5538014589222631	6.101510418391424	1263311.409315331	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	2	103.72059631347656	103.60821533203125	0.6872001088980468	6.023014358343961	1054421.756378252	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	3	119.0013656616211	105.95292663574219	0.8067988264636818	5.888708521265775	773942.1886019747	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	4	130.32139587402344	110.63745880126953	0.8953978403851868	5.62037697323465	417231.3885837144	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	5	137.91067504882812	114.94168853759766	0.9547972093485326	5.373829273823023	236498.98099128343	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	6	141.46258544921875	119.19458770751953	0.9825971138635721	5.130221806190882	134965.201116935	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	7	143.12351989746094	123.94116973876953	0.9955968277814105	4.858336021378758	72166.56287852897	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	8	143.63458251953125	129.29840087890625	0.9995967856894696	4.551472054135272	35601.808034301655	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ64	17	16	306	9	143.68568420410156	135.5229034423828	0.9999967456522707	4.194930493619942	15665.003405087935	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	0	69.185546875	101.02597045898438	0.4169030099886172	6.1709261966442766	1482266.169642084	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	1	86.67665100097656	102.301513671875	0.5538014589222631	6.097862660563933	1252744.9495705417	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	2	103.72059631347656	101.9979248046875	0.6872001088980468	6.115252331040935	1303924.156197422	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	3	119.0013656616211	105.39840698242188	0.8067988264636818	5.920471589963239	832667.4539904761	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	4	130.32139587402344	109.02513885498047	0.8953978403851868	5.712731191718386	516096.8302247136	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	5	137.91067504882812	113.95183563232422	0.9547972093485326	5.430528374823908	269481.139330464	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	6	141.46258544921875	118.52080535888672	0.9825971138635721	5.168816281424746	147508.24006270626	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	7	143.12351989746094	123.27799224853516	0.9955968277814105	4.89632304682465	78763.14458322672	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	8	143.63458251953125	128.30377197265625	0.9995967856894696	4.608444726047862	40592.3996807761	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ32	17	16	317	9	143.68568420410156	133.47463989257812	0.9999967456522707	4.312255705545976	20523.702254474712	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	0	69.185546875	102.91925048828125	0.4169030099886172	6.06247849190737	1154724.7964360532	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	1	86.67665100097656	103.06317138671875	0.5538014589222631	6.054234655360372	1133012.3802573415	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	2	103.70782470703125	103.77113342285156	0.6871001487640175	6.013682356349442	1032006.3186538819	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	3	118.98859405517578	104.70203399658203	0.8066988663296525	5.960360064349758	912767.2817439311	0
juno++_fig8_vector	sift1m	SIFT1M	r1	R1@100	PQ16	17	16	328	4	130.30862426757812	106.12336730957031	0.8952978802511575	5.878945623234608	756738.1400788763	0
