metric	value
plot_rows_total	353
juno_raw_rows	277
juno_plot_input_points	164
juno_raw_unplotted_points	113
mfnns_plot_input_points	189
mfnns_points_within_xlim	160
mfnns_points_below_xlim	29
panel_points:sift1m:r1	37
panel_points:t2i1m:r1	37
panel_points:sift1m:r100	71
panel_points:t2i1m:r100	44
source_points:20260612/002_sift_t2i_ansmet_mfnns_r1_r100_frontier	32
source_points:20260612/003_sift_mfnns_lowef_subef_pareto	44
source_points:20260613/004_sift_t2i_mfnns_lowef_subef_frontier	21
source_points:20260613/006_mfnns_ansmet_lbq_juno_focused	92
speedup_geomean_at_recall:0.90	2.197012296471
speedup_min_at_recall:0.90	1.357598000000
speedup_max_at_recall:0.90	4.336218000000
speedup_geomean_at_recall:0.95	2.387685913623
speedup_min_at_recall:0.95	1.497516000000
speedup_max_at_recall:0.95	4.333194000000
