case_order	method	config_ref	ef_search	queue_size	warmup_size	recall	s_mem_cycle	final_status	slurm_job_id
1	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q20.yaml	20	20	19	0.75	231297	PASS	9616434
2	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q21.yaml	20	21	20	0.76200000000000001	233697	PASS	9616435
3	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q22.yaml	20	22	21	0.77400000000000002	240372	PASS	9616436
4	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q23.yaml	20	23	22	0.77900000000000003	244272	PASS	9616437
5	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q24.yaml	20	24	23	0.79400000000000004	246522	PASS	9616438
6	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q25.yaml	20	25	24	0.80800000000000005	251322	PASS	9616439
7	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q26.yaml	20	26	25	0.81299999999999994	256272	PASS	9616440
8	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q27.yaml	20	27	26	0.81799999999999995	257847	PASS	9616441
9	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q28.yaml	20	28	27	0.82699999999999996	264522	PASS	9616442
10	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q29.yaml	20	29	28	0.82799999999999996	266997	PASS	9616443
11	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q30.yaml	20	30	29	0.82999999999999996	267297	PASS	9616444
12	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q31.yaml	20	31	30	0.83599999999999997	275022	PASS	9616445
13	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q32.yaml	20	32	31	0.83999999999999997	273372	PASS	9616446
14	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q33.yaml	20	33	32	0.84499999999999997	279972	PASS	9616447
15	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q34.yaml	20	34	33	0.84799999999999998	279222	PASS	9616448
16	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q35.yaml	20	35	34	0.85099999999999998	279897	PASS	9616449
17	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q36.yaml	20	36	35	0.85099999999999998	279972	PASS	9616450
18	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q37.yaml	20	37	36	0.85399999999999998	283572	PASS	9616451
19	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q38.yaml	20	38	37	0.85899999999999999	286122	PASS	9616452
20	mfnns	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q39.yaml	20	39	38	0.86099999999999999	286497	PASS	9616453
