method	case_name	ef_search	queue_size	warmup_size	config_ref	source_yaml_ref	source_yaml_sha256	portable_yaml_sha256	source_stats_ref	source_stats_sha256	slurm_job_id	recall	s_mem_cycle	final_status
mfnns	t2i1m_normalized_k10_ef20_q20	20	20	19	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q20.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q20.yaml	7c8a963239f8eb8c1809d2bf7c701a904eae762e669dc2dae80da9721fedbe1a	3e6e929dc3f8b2923be584d619476b5452be7e3ee9591dc545a50b43c53998af	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q20_stats.yml	ae647ff19bc02abf40b220706114b76ac026baf6467962b8e0fcb394830bbfd2	9616434	0.75	231297	PASS
mfnns	t2i1m_normalized_k10_ef20_q21	20	21	20	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q21.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q21.yaml	0cef27d7b8c5e12cafcee1458351b77f7ba2810aca8c150c28f4883d9b015259	d470446aa56152b25b072e9aeae6a5a17f139eb97856d1e2313b2ea0630e23fa	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q21_stats.yml	13947312f64b63e7eb9958a75c34b9381f386d63e9d1376a7e12b4bc1a3d4243	9616435	0.76200000000000001	233697	PASS
mfnns	t2i1m_normalized_k10_ef20_q22	20	22	21	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q22.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q22.yaml	74890e7ea5903f31cf2bba3a78f1c40d938683f88d4b8c9956f8e72633975f08	dc08a4a88f4eea1a8e4e2c5e2e8b1cf2335a39beefc7cc47a1c3ad3224aaa1ed	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q22_stats.yml	942e1765673b9326e97d0c8687c0591d2879d754dc0e50be1fe97eef67003a11	9616436	0.77400000000000002	240372	PASS
mfnns	t2i1m_normalized_k10_ef20_q23	20	23	22	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q23.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q23.yaml	80cf53ed3f9cf4e039a497d8a5a82d1836a479ce5f02c261cd39678e78318505	e12c414ac249d352d0b289fd6d6a79fad5e218fc6980354ee1db627868f0afc0	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q23_stats.yml	a9f1a66f34b792ff92664aff9a1bb1e56a883d8bf46db7d4042364c4eecbb3d5	9616437	0.77900000000000003	244272	PASS
mfnns	t2i1m_normalized_k10_ef20_q24	20	24	23	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q24.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q24.yaml	0941602277d113636b7f45ee5b587d26c9932673b694468cee6ae5fbda99e0e9	cdc1cb3a87666820dc071ac1dcacadf45bada76a77e14835a85b00a0fb0278e1	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q24_stats.yml	e5553c765d6e0f9726bff6146f6c61649eb6d27d4873bef45ea582f5177b54f4	9616438	0.79400000000000004	246522	PASS
mfnns	t2i1m_normalized_k10_ef20_q25	20	25	24	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q25.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q25.yaml	44376aa6bc37a1eef1ae3541dd49eb51dce96c3fb3d813d2c5c0fbc4c57149cc	c50ad0547ad78054ba65c83c54d4e2022bbbfc8719c064f7fc37c83a30afc5c4	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q25_stats.yml	b91551b9761a1e8fe57babc0d14ade0b8b2303dea900a04f3b3533d1f7f37dce	9616439	0.80800000000000005	251322	PASS
mfnns	t2i1m_normalized_k10_ef20_q26	20	26	25	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q26.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q26.yaml	8fe8e483fcefca3e19e3216f5ec41981cdc9e634668043d903eb454bd93b98ee	e293e6eedda3cd67dab026f25b4f7fe6145def5c77951620abd0e4e6891db5c2	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q26_stats.yml	2d064d59f8d42647249a7560f8c796cfdaa02042f95918c0545270d3ffb11231	9616440	0.81299999999999994	256272	PASS
mfnns	t2i1m_normalized_k10_ef20_q27	20	27	26	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q27.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q27.yaml	8107ca228b6168a560acce2842153d396f833a19c7981333df301390f4a6262f	f179631f0186f4461d74e904d3ff32b88bd760ffbd8087ead7145660359ffe01	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q27_stats.yml	1fd90a85fc459c10dff285e519beb79b90b7c640c430ba17d5fd4e6e8b2bafb2	9616441	0.81799999999999995	257847	PASS
mfnns	t2i1m_normalized_k10_ef20_q28	20	28	27	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q28.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q28.yaml	63c846aada8ef15930124765c13f5a03e756adbb39857b55088e681882fd2f6e	acc0b40fa52fe50996e52d32c806017191f4536a0120f83b44c2aa3ccdedf96f	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q28_stats.yml	9fac90f9b44ec5074a1b32d55e9124a07fd2dc458e42b790b742bd0ae1a52d23	9616442	0.82699999999999996	264522	PASS
mfnns	t2i1m_normalized_k10_ef20_q29	20	29	28	ae/figure21/configs/mfnns/t2i1m_normalized_k10_ef20_q29.yaml	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/yamls/t2i1m_normalized_k10_ef20_q29.yaml	5f0c79195928d7a9752ccc999ba5add4aa73ea686541492d66fa1872bdadb966	fc723ac6091580825f927d70e02d4515b5956502da62bb23ced9a78e779b81ea	MFANNS/simulator/memory/20260329/mfnns_t2i_k10_ef20_30_40_dualq_q20_100/logs/t2i1m_normalized_k10_ef20_q29_stats.yml	3a14e8d803475b443cd33ea048193efbb7730626c6848162e40255283c9152ec	9616443	0.82799999999999996	266997	PASS
