ef_search	panel_index	queue_size	plot_x	recall	s_mem_cycle	norm_throughput	throughput_unit	global_max_s_mem_cycle	ansmet_upper_bound_recall
20	0	20	0.0	0.750000	231297	2.672525	1/max_s_mem_cycle	618147	0.893000
20	0	21	1.0	0.762000	233697	2.645079	1/max_s_mem_cycle	618147	0.893000
20	0	22	2.0	0.774000	240372	2.571626	1/max_s_mem_cycle	618147	0.893000
20	0	23	3.0	0.779000	244272	2.530568	1/max_s_mem_cycle	618147	0.893000
20	0	24	4.0	0.794000	246522	2.507472	1/max_s_mem_cycle	618147	0.893000
20	0	25	5.0	0.808000	251322	2.459582	1/max_s_mem_cycle	618147	0.893000
20	0	26	6.0	0.813000	256272	2.412074	1/max_s_mem_cycle	618147	0.893000
20	0	27	7.0	0.818000	257847	2.397340	1/max_s_mem_cycle	618147	0.893000
20	0	28	8.0	0.827000	264522	2.336845	1/max_s_mem_cycle	618147	0.893000
20	0	29	9.0	0.828000	266997	2.315183	1/max_s_mem_cycle	618147	0.893000
20	0	30	10.0	0.830000	267297	2.312585	1/max_s_mem_cycle	618147	0.893000
20	0	31	11.0	0.836000	275022	2.247627	1/max_s_mem_cycle	618147	0.893000
20	0	32	12.0	0.840000	273372	2.261194	1/max_s_mem_cycle	618147	0.893000
20	0	33	13.0	0.845000	279972	2.207889	1/max_s_mem_cycle	618147	0.893000
20	0	34	14.0	0.848000	279222	2.213819	1/max_s_mem_cycle	618147	0.893000
20	0	35	15.0	0.851000	279897	2.208480	1/max_s_mem_cycle	618147	0.893000
20	0	36	16.0	0.851000	279972	2.207889	1/max_s_mem_cycle	618147	0.893000
20	0	37	17.0	0.854000	283572	2.179859	1/max_s_mem_cycle	618147	0.893000
20	0	38	18.0	0.859000	286122	2.160432	1/max_s_mem_cycle	618147	0.893000
20	0	39	19.0	0.861000	286497	2.157604	1/max_s_mem_cycle	618147	0.893000
20	0	40	20.0	0.861000	292872	2.110639	1/max_s_mem_cycle	618147	0.893000
20	0	41	21.0	0.864000	292722	2.111720	1/max_s_mem_cycle	618147	0.893000
20	0	42	22.0	0.866000	294972	2.095612	1/max_s_mem_cycle	618147	0.893000
20	0	43	23.0	0.867000	295722	2.090298	1/max_s_mem_cycle	618147	0.893000
20	0	44	24.0	0.868000	296772	2.082902	1/max_s_mem_cycle	618147	0.893000
20	0	45	25.0	0.868000	300447	2.057424	1/max_s_mem_cycle	618147	0.893000
20	0	46	26.0	0.871000	302847	2.041120	1/max_s_mem_cycle	618147	0.893000
20	0	47	27.0	0.871000	302097	2.046187	1/max_s_mem_cycle	618147	0.893000
20	0	48	28.0	0.871000	307647	2.009274	1/max_s_mem_cycle	618147	0.893000
20	0	49	29.0	0.874000	308322	2.004875	1/max_s_mem_cycle	618147	0.893000
20	0	50	30.0	0.874000	305022	2.026565	1/max_s_mem_cycle	618147	0.893000
20	0	51	31.0	0.874000	307497	2.010254	1/max_s_mem_cycle	618147	0.893000
20	0	52	32.0	0.874000	310797	1.988909	1/max_s_mem_cycle	618147	0.893000
20	0	53	33.0	0.874000	313722	1.970365	1/max_s_mem_cycle	618147	0.893000
20	0	54	34.0	0.874000	316947	1.950317	1/max_s_mem_cycle	618147	0.893000
20	0	55	35.0	0.875000	314547	1.965198	1/max_s_mem_cycle	618147	0.893000
20	0	56	36.0	0.876000	316197	1.954943	1/max_s_mem_cycle	618147	0.893000
20	0	57	37.0	0.876000	318222	1.942502	1/max_s_mem_cycle	618147	0.893000
20	0	58	38.0	0.876000	321372	1.923463	1/max_s_mem_cycle	618147	0.893000
20	0	59	39.0	0.877000	321447	1.923014	1/max_s_mem_cycle	618147	0.893000
20	0	60	40.0	0.877000	320022	1.931577	1/max_s_mem_cycle	618147	0.893000
20	0	61	41.0	0.878000	320922	1.926160	1/max_s_mem_cycle	618147	0.893000
20	0	62	42.0	0.878000	324222	1.906555	1/max_s_mem_cycle	618147	0.893000
20	0	63	43.0	0.879000	324072	1.907437	1/max_s_mem_cycle	618147	0.893000
20	0	64	44.0	0.880000	323772	1.909205	1/max_s_mem_cycle	618147	0.893000
20	0	65	45.0	0.880000	329772	1.874468	1/max_s_mem_cycle	618147	0.893000
20	0	66	46.0	0.880000	329472	1.876175	1/max_s_mem_cycle	618147	0.893000
20	0	67	47.0	0.880000	334422	1.848404	1/max_s_mem_cycle	618147	0.893000
20	0	68	48.0	0.880000	335172	1.844268	1/max_s_mem_cycle	618147	0.893000
20	0	69	49.0	0.880000	336597	1.836460	1/max_s_mem_cycle	618147	0.893000
20	0	70	50.0	0.880000	338097	1.828313	1/max_s_mem_cycle	618147	0.893000
