case_order	dataset	variant	search_role	case_name	ef_search	queue_size	warmup_size	k_neighbors	yaml_path	stats_path	base_yaml	note
1	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef10	10	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef10.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef10_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
2	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef12	12	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef12.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef12_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
3	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef14	14	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef14.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef14_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
4	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef16	16	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef16.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef16_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
5	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef18	18	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef18.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef18_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
6	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef20	20	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef20.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef20_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
7	sift1m	normalized	trim_ef	sift1m_normalized_k10_ef25	25	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/sift1m_normalized_k10_ef25.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/sift1m_normalized_k10_ef25_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/sift1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
8	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef10	10	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef10.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef10_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
9	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef12	12	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef12.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef12_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
10	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef14	14	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef14.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef14_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
11	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef16	16	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef16.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef16_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
12	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef18	18	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef18.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef18_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
13	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef20	20	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef20.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef20_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
14	deep10m	normalized	trim_ef	deep10m_normalized_k10_ef25	25	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/deep10m_normalized_k10_ef25.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/deep10m_normalized_k10_ef25_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/deep10m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
15	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef10	10	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef10.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef10_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
16	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef14	14	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef14.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef14_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
17	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef18	18	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef18.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef18_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
18	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef20	20	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef20.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef20_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
19	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef22	22	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef22.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef22_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
20	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef25	25	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef25.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef25_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
21	w2v1m	normalized	trim_ef	w2v1m_normalized_k10_ef28	28	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/w2v1m_normalized_k10_ef28.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/w2v1m_normalized_k10_ef28_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/w2v1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
22	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef10	10	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef10.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef10_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
23	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef15	15	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef15.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef15_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
24	wiki1m	normalized	trim_ef	wiki1m_normalized_k10_ef20	20	33	32	10	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/yamls/wiki1m_normalized_k10_ef20.yaml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260329/ansmet_recall09_k10_efsearch/logs/wiki1m_normalized_k10_ef20_stats.yml	/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260326/multidataset_nine_config_fp16_hotrep_cfs/yamls/wiki1m_normalized_ansmet.yaml	ansmet_k10_nfmac16;target_recall_[0.9,0.91)
