dataset	dataset_short	design	config_ref	config_sha256	source_yaml_ref	stats_ref	stats_sha256	source_slurm_ref	source_slurm_sha256	row_policy	ef_search	queue_size	recall	n_query	gt_k
deep10m	DP	ansmet_open	configs/ansmet_open/deep10m_normalized_ansmet_open.yaml	58991a064b7862142493852bde9ab0352093c632e066a02e9ae98c0b53fc5c18	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/yamls/deep10m_normalized_ansmet_open.yaml	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/logs/deep10m_normalized_ansmet_open_stats.yml	43a2124e3421eadec855d731771dfdf12dc662e9c843f21c2e36239fe17758e4	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/01_deep10m_normalized_ansmet_open/slurm-9667337.out	c634859c42f4b82d6ac5973de8bbce3d7e9604437d49e3a4774866a7fd61722c	OpenRowPolicy	12	40	0.877	1000	10
deep10m	DP	ndp_et	configs/ndp_et/deep10m_normalized_ndp_et.yaml	fe6a1c40f001325fdeeeb3d7eee8a6e6b5670fb2570fa9434f18306548e81eae	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/yamls/deep10m_normalized_ndp_et.yaml	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_ndp_et_stats.yml	128bdfa74dd8828a0f5931b68770cc2830a54a53a2d7c2f950dd2fe47ceb5fda	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/04_deep10m_normalized_ndp_et/slurm-9624219.out	82637ce584bbae31acd79c375dc66542ddeb0e9a8af0c542297c325a801b2c05	ClosedRowPolicy	12	40	0.8773	1000	10
deep10m	DP	mfnns	configs/mfnns/deep10m_normalized_mfnns.yaml	d8f25b58af633704456041d53ae2c108f8bdabc9525178acff1dfb0de47dbe17	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/yamls/deep10m_normalized_mfnns.yaml	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/deep10m_normalized_mfnns_stats.yml	166f657dea730fcb84dc35c824b60744a71cc1118823f4db94635a2ef10b856d	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/06_deep10m_normalized_mfnns/slurm-9624221.out	5d428a2f662c29c3b229cb96c76b0f454658f5b42f25b5b88631146cdfa9d8e8	OpenRowPolicy	12	40	0.8773	1000	10
glove2m	GV	ansmet_open	configs/ansmet_open/glove2m_normalized_ansmet_open.yaml	d625c2bad8aa5be82a7ceafb59a7fde7bc471784ed51e7219d1857fd43e0605f	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/yamls/glove2m_normalized_ansmet_open.yaml	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/logs/glove2m_normalized_ansmet_open_stats.yml	3ee4455b8b74c67d2348ea15aec464e710dc0ef136e253350a3a08e646176d24	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/02_glove2m_normalized_ansmet_open/slurm-9667338.out	7e2f0eee38fed4bf5e16bd56ed91145f4e19784adab0ec638027dc9c880f0996	OpenRowPolicy	500	800	0.9006	1000	10
glove2m	GV	ndp_et	configs/ndp_et/glove2m_normalized_ndp_et.yaml	cfb7f48f996fb850873fe4d1fe87f420017d06ad8e996e1500035244ea04f697	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/yamls/glove2m_normalized_ndp_et.yaml	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/glove2m_normalized_ndp_et_stats.yml	73239a61529d49a7b3b60208e2899efcadfbaa50cee9eecb6d58c5259ef16536	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/10_glove2m_normalized_ndp_et/slurm-9624225.out	a53667fa11a1755e0c515cdffcbfbf1f214ad157b7f133f0ecff8534860b22ef	ClosedRowPolicy	500	800	0.8985	1000	10
glove2m	GV	mfnns	configs/mfnns/glove2m_normalized_mfnns.yaml	05cf49ff1a810e7acc83c48ec7a86d30a00e5999c969fd751e347ef4ee69401f	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/yamls/glove2m_normalized_mfnns.yaml	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/glove2m_normalized_mfnns_stats.yml	b069c028e5a3c89c07ca375c6d7b265ab60f38a2f1edf4fe52718ed360165cdd	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/12_glove2m_normalized_mfnns/slurm-9624227.out	9a8226741cad5c8e84a90401de31dc883bc9517d76a22f45b1f60f08c07a704a	OpenRowPolicy	500	800	0.8985	1000	10
sift1m	SF	ansmet_open	configs/ansmet_open/sift1m_normalized_ansmet_open.yaml	f045c2c8bab06c08dcde9bba2cd3a14a58259ef3e42a5f7c856b9701d523e792	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/yamls/sift1m_normalized_ansmet_open.yaml	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/logs/sift1m_normalized_ansmet_open_stats.yml	8302f6900a76ac1849b98efd92e4dfdb6d463fd767322d37bdad4a1074ea3542	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/04_sift1m_normalized_ansmet_open/slurm-9667340.out	af5e2af8febae833ce8de2234419596bcebdbcb252d40df585d046cde7773cc1	OpenRowPolicy	10	10	0.9015	1000	10
sift1m	SF	ndp_et	configs/ndp_et/sift1m_normalized_ndp_et.yaml	02261da5a6c53945d396e35d00048b7345806163cb0f2b9256969bfdb564dd57	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/yamls/sift1m_normalized_ndp_et.yaml	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_ndp_et_stats.yml	978a3f8da375490f0d6fec248c08111d484a60a73924a30e20cc4394dfaec792	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/16_sift1m_normalized_ndp_et/slurm-9624231.out	cfc94707af0f6308a2c14eed11fbe09168419a120dc2e1477a78afda333fc4d7	ClosedRowPolicy	10	10	0.8927	1000	10
sift1m	SF	mfnns	configs/mfnns/sift1m_normalized_mfnns.yaml	81981509291a27adb33b343499d2c34eadae88f8c4e0cee9b6671c86484b76d4	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/yamls/sift1m_normalized_mfnns.yaml	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/logs/sift1m_normalized_mfnns_stats.yml	e6e54f2c1d0e6aa5d5c4c94633b821f7acba546a6caab6dc50c184330ef56373	simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/18_sift1m_normalized_mfnns/slurm-9624233.out	377662aa2e9fb6ebeba46bcd28a8fd1d03df780ff007a17a90b85c08ea0cd09e	OpenRowPolicy	10	10	0.8927	1000	10
t2i1m	T2I	ansmet_open	configs/ansmet_open/t2i1m_normalized_ansmet_open.yaml	32c033d631db0b3f351b812aebdcde0dcfb9cbcad4537c10d9fd34ecc75ffd81	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/yamls/t2i1m_normalized_ansmet_open.yaml	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/logs/t2i1m_normalized_ansmet_open_stats.yml	78f7cb196c79c3254fc190afe741fcc8f948f452aad4823d274da43eb3591078	simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/05_t2i1m_normalized_ansmet_open/slurm-9667341.out	a64744e9f0a1152ea48395fbde121fe969d35521e3a0abf53dd774cf45e15758	OpenRowPolicy	25	70	0.8749	1000	10
