dataset,variant,dataset_label,dataset_short,design,design_label,source_dir,run_dir,slurm_file,occurrences,sum_num_read_reqs_0,sum_service_cycles_0,sum_row_misses_0,service_cycles_per_read,row_miss_per_read,total_average_latency,average_index_latency,average_disgather_latency
deep10m,normalized,Deep10M,DP,ansmet_open,AN+OR,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/01_deep10m_normalized_ansmet_open,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/01_deep10m_normalized_ansmet_open/slurm-9667337.out,32,6139259,994998326,127269,162.07140405706943,0.02073035198547577,1167458.14,298.1,84192.6
deep10m,normalized,Deep10M,DP,ndp_et,NDP-ET,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/04_deep10m_normalized_ndp_et,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/04_deep10m_normalized_ndp_et/slurm-9624219.out,32,7982673,1381553228,325400,173.0689993188998,0.04076328818680159,1380834.85,305.94,87918.7
deep10m,normalized,Deep10M,DP,mfnns,MFANNS,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/06_deep10m_normalized_mfnns,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/06_deep10m_normalized_mfnns/slurm-9624221.out,32,8878222,1231266405,145982,138.68389470324126,0.01644270665905854,990434.32,305.94,87332.5
glove2m,normalized,GloVe2M,GV,ansmet_open,AN+OR,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/02_glove2m_normalized_ansmet_open,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/02_glove2m_normalized_ansmet_open/slurm-9667338.out,32,1518393706,212860843315,41522477,140.1881754869445,0.02734631791209493,173246151.33,25186.62,5701401.33
glove2m,normalized,GloVe2M,GV,ndp_et,NDP-ET,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/10_glove2m_normalized_ndp_et,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/10_glove2m_normalized_ndp_et/slurm-9624225.out,32,778223297,118715024753,24891275,152.5462231863768,0.03198474666070039,91305867.45,24562.68,5634113.82
glove2m,normalized,GloVe2M,GV,mfnns,MFANNS,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/12_glove2m_normalized_mfnns,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/12_glove2m_normalized_mfnns/slurm-9624227.out,32,779710272,114042570855,11151623,146.26275291009634,0.014302265085459846,86883042.39,24562.68,5628208.1
sift1m,normalized,SIFT1M,SF,ansmet_open,AN+OR,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/04_sift1m_normalized_ansmet_open,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/04_sift1m_normalized_ansmet_open/slurm-9667340.out,32,5589560,781841261,146968,139.87527837611546,0.026293303945212145,1232908.81,207.34,54251.0
sift1m,normalized,SIFT1M,SF,ndp_et,NDP-ET,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/16_sift1m_normalized_ndp_et,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/16_sift1m_normalized_ndp_et/slurm-9624231.out,32,6597803,1216897444,381814,184.4397967020234,0.05786986971269072,1221827.64,211.99,57210.87
sift1m,normalized,SIFT1M,SF,mfnns,MFANNS,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/18_sift1m_normalized_mfnns,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260331/eight_config_k10_nq1000_noncpu_ndpfpma_nfmac16_emb017_stdfp16_finalize40_12/runs/formal_submit/18_sift1m_normalized_mfnns/slurm-9624233.out,32,6358782,969272828,97556,152.43057994439815,0.015341931835373504,961034.31,211.99,57117.17
t2i1m,normalized,T2I1M,T2I,ansmet_open,AN+OR,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/05_t2i1m_normalized_ansmet_open,/hpc2hdd/home/rmeng603/workspace/MFANNS/simulator/memory/20260404/ansmet_rowpolicy_seven_dataset_k10_nq1000/runs/formal_submit/05_t2i1m_normalized_ansmet_open/slurm-9667341.out,32,23702567,3343610150,787931,141.06531794636422,0.03324243319299551,3723311.34,591.33,128724.04
