figure	reproduction_command	versioned_input	yaml_or_config_check	result	gpu_executed
14	bash ae/figure14/reproduce_figure14.sh	168-row final QPS table	126 portable YAMLs parsed and semantically validated	PASS	no
15	bash ae/figure15/reproduce_figure15.sh	Figure 14 Recall@10 plus area specs	inherits Figure 14 provenance	PASS	no
16	bash ae/figure16/reproduce_figure16.sh	42 execution traces plus external power	42 Recall@10 final YAMLs/checksums	PASS	no
17	bash ae/figure17/reproduce_figure17.sh	42 execution traces	42 Recall@10 final YAMLs/checksums	PASS	no
18	bash ae/figure18/reproduce_figure18.sh	frozen recall-QPS curves plus CPU/BANG evidence	108 YAMLs parsed; CPU provenance and GPU scripts statically checked	PASS	no
19	bash ae/figure19/reproduce_figure19.sh	frozen JUNO++/MFNNS frontier tables	point-level source hashes recorded; author tree not duplicated	PASS	no
20	bash ae/figure20/reproduce_figure20.sh	frozen DPE area/power table	no simulator YAML required	PASS	no
21	bash ae/figure21/reproduce_figure21.sh	frozen LBQueue sweep plus query/GT	246 portable YAMLs parsed and checksummed	PASS	no
22	bash ae/figure22/reproduce_figure22.sh	frozen final-point latency counters	source YAML/stats identifiers and hashes recorded	PASS	no
23	bash ae/figure23/reproduce_figure23.sh	frozen DRAM counters	21 historical YAMLs parsed and hash-verified	PASS	no
