top_k	dataset	normalization	design	ef_search	queue_size	historical_result_status	source_kind	config_path
5	deep10m	normalized	cpu	13	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/cpu.yaml
5	deep10m	normalized	ansmet	13	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ansmet.yaml
5	deep10m	normalized	ndp_base	13	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_base.yaml
5	deep10m	normalized	ndp_fpma	13	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_fpma.yaml
5	deep10m	normalized	ndp_et	15	30	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/ndp_et.yaml
5	deep10m	normalized	mfnns	15	30	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/deep10m/mfnns.yaml
5	glove2m	normalized	cpu	480	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/cpu.yaml
5	glove2m	normalized	ansmet	480	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ansmet.yaml
5	glove2m	normalized	ndp_base	480	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_base.yaml
5	glove2m	normalized	ndp_fpma	480	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_fpma.yaml
5	glove2m	normalized	ndp_et	480	525	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/ndp_et.yaml
5	glove2m	normalized	mfnns	480	525	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/glove2m/mfnns.yaml
5	sift1m	normalized	cpu	9	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/sift1m/cpu.yaml
5	sift1m	normalized	ansmet	9	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/sift1m/ansmet.yaml
5	sift1m	normalized	ndp_base	9	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/sift1m/ndp_base.yaml
5	sift1m	normalized	ndp_fpma	9	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/sift1m/ndp_fpma.yaml
5	sift1m	normalized	ndp_et	9	8	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/sift1m/ndp_et.yaml
5	sift1m	normalized	mfnns	9	8	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/sift1m/mfnns.yaml
5	t2i1m	normalized	cpu	35	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/t2i1m/cpu.yaml
5	t2i1m	normalized	ansmet	35	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/t2i1m/ansmet.yaml
5	t2i1m	normalized	ndp_base	35	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/t2i1m/ndp_base.yaml
5	t2i1m	normalized	ndp_fpma	35	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/t2i1m/ndp_fpma.yaml
5	t2i1m	normalized	ndp_et	30	100	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/t2i1m/ndp_et.yaml
5	t2i1m	normalized	mfnns	30	100	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/t2i1m/mfnns.yaml
5	w2v1m	normalized	cpu	22	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/w2v1m/cpu.yaml
5	w2v1m	normalized	ansmet	22	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/w2v1m/ansmet.yaml
5	w2v1m	normalized	ndp_base	22	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/w2v1m/ndp_base.yaml
5	w2v1m	normalized	ndp_fpma	22	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/w2v1m/ndp_fpma.yaml
5	w2v1m	normalized	ndp_et	22	30	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/w2v1m/ndp_et.yaml
5	w2v1m	normalized	mfnns	22	30	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/w2v1m/mfnns.yaml
5	wiki1m	normalized	cpu	20	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/wiki1m/cpu.yaml
5	wiki1m	normalized	ansmet	20	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/wiki1m/ansmet.yaml
5	wiki1m	normalized	ndp_base	20	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/wiki1m/ndp_base.yaml
5	wiki1m	normalized	ndp_fpma	20	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/wiki1m/ndp_fpma.yaml
5	wiki1m	normalized	ndp_et	18	50	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/wiki1m/ndp_et.yaml
5	wiki1m	normalized	mfnns	18	50	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/wiki1m/mfnns.yaml
5	pubmed	normalized	cpu	240	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/pubmed/cpu.yaml
5	pubmed	normalized	ansmet	240	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/pubmed/ansmet.yaml
5	pubmed	normalized	ndp_base	240	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/pubmed/ndp_base.yaml
5	pubmed	normalized	ndp_fpma	240	NA	not_run_cancelled	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/pubmed/ndp_fpma.yaml
5	pubmed	normalized	ndp_et	190	350	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k5/pubmed/ndp_et.yaml
5	pubmed	normalized	mfnns	190	350	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k5/pubmed/mfnns.yaml
10	deep10m	normalized	cpu	15	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/cpu.yaml
10	deep10m	normalized	ansmet	15	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ansmet.yaml
10	deep10m	normalized	ndp_base	15	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_base.yaml
10	deep10m	normalized	ndp_fpma	15	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml
10	deep10m	normalized	ndp_et	15	40	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_et.yaml
10	deep10m	normalized	mfnns	15	40	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml
10	glove2m	normalized	cpu	500	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/cpu.yaml
10	glove2m	normalized	ansmet	500	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ansmet.yaml
10	glove2m	normalized	ndp_base	500	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_base.yaml
10	glove2m	normalized	ndp_fpma	500	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml
10	glove2m	normalized	ndp_et	520	900	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_et.yaml
10	glove2m	normalized	mfnns	520	900	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/mfnns.yaml
10	sift1m	normalized	cpu	10	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/cpu.yaml
10	sift1m	normalized	ansmet	10	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ansmet.yaml
10	sift1m	normalized	ndp_base	10	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_base.yaml
10	sift1m	normalized	ndp_fpma	10	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_fpma.yaml
10	sift1m	normalized	ndp_et	10	15	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/ndp_et.yaml
10	sift1m	normalized	mfnns	10	15	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/sift1m/mfnns.yaml
10	t2i1m	normalized	cpu	35	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/cpu.yaml
10	t2i1m	normalized	ansmet	35	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ansmet.yaml
10	t2i1m	normalized	ndp_base	35	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_base.yaml
10	t2i1m	normalized	ndp_fpma	35	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_fpma.yaml
10	t2i1m	normalized	ndp_et	35	140	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/ndp_et.yaml
10	t2i1m	normalized	mfnns	35	140	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/t2i1m/mfnns.yaml
10	w2v1m	normalized	cpu	25	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/cpu.yaml
10	w2v1m	normalized	ansmet	25	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ansmet.yaml
10	w2v1m	normalized	ndp_base	25	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_base.yaml
10	w2v1m	normalized	ndp_fpma	25	NA	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_fpma.yaml
10	w2v1m	normalized	ndp_et	25	33	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/ndp_et.yaml
10	w2v1m	normalized	mfnns	25	33	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/w2v1m/mfnns.yaml
10	wiki1m	normalized	cpu	21	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/cpu.yaml
10	wiki1m	normalized	ansmet	21	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ansmet.yaml
10	wiki1m	normalized	ndp_base	21	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_base.yaml
10	wiki1m	normalized	ndp_fpma	21	NA	not_run_cancelled	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_fpma.yaml
10	wiki1m	normalized	ndp_et	20	70	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/ndp_et.yaml
10	wiki1m	normalized	mfnns	20	70	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/wiki1m/mfnns.yaml
10	pubmed	normalized	cpu	320	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/cpu.yaml
10	pubmed	normalized	ansmet	320	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ansmet.yaml
10	pubmed	normalized	ndp_base	320	NA	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_base.yaml
10	pubmed	normalized	ndp_fpma	320	NA	not_run_cancelled	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_fpma.yaml
10	pubmed	normalized	ndp_et	220	700	completed_bundled	reused_result	simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/ndp_et.yaml
10	pubmed	normalized	mfnns	220	700	completed_external	completion_config	simulator/run_case/figure14_recall_gt0895/configs/final/k10/pubmed/mfnns.yaml
100	deep10m	normalized	cpu	91	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/cpu.yaml
100	deep10m	normalized	ansmet	91	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ansmet.yaml
100	deep10m	normalized	ndp_base	91	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ndp_base.yaml
100	deep10m	normalized	ndp_fpma	91	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ndp_fpma.yaml
100	deep10m	normalized	ndp_et	35	200	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ndp_et.yaml
100	deep10m	normalized	mfnns	35	200	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/mfnns.yaml
100	glove2m	normalized	cpu	1500	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/cpu.yaml
100	glove2m	normalized	ansmet	1500	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ansmet.yaml
100	glove2m	normalized	ndp_base	1500	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_base.yaml
100	glove2m	normalized	ndp_fpma	1500	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_fpma.yaml
100	glove2m	normalized	ndp_et	1200	1800	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_et.yaml
100	glove2m	normalized	mfnns	1200	1800	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/mfnns.yaml
100	sift1m	normalized	cpu	90	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/cpu.yaml
100	sift1m	normalized	ansmet	90	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ansmet.yaml
100	sift1m	normalized	ndp_base	90	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ndp_base.yaml
100	sift1m	normalized	ndp_fpma	90	NA	figure_copied_from_ndp_base	derived_fpma_from_ndp_base	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ndp_fpma.yaml
100	sift1m	normalized	ndp_et	100	80	figure_manual_override	manual_override_resolved_to_result	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/ndp_et.yaml
100	sift1m	normalized	mfnns	90	90	figure_manual_override	manual_override_resolved_to_result	simulator/run_case/figure14_recall_gt0895/configs/final/k100/sift1m/mfnns.yaml
100	t2i1m	normalized	cpu	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/cpu.yaml
100	t2i1m	normalized	ansmet	93	NA	matched_direct	direct_result_config	simulator/run_case/figure14_recall_gt0895/configs/final/k100/t2i1m/ansmet.yaml
