dataset	design	figure_qps	figure_recall	match_status	ef_search	source_queue_or_lbq	source_config_semantics	source_yaml_ref	source_yaml_sha256	source_stats_ref	source_stats_sha256	source_result_qps	source_result_recall	note	config_path
deep10m	cpu	12995.415	0.9036	matched_direct	91	NA	cpu	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/yamls/deep10m_normalized_cpu_ef91.yaml	a3d26b6a15faee29684f4f2fe3abbac043fbe13747cc4c9d9f66c909ed678d71	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/logs/deep10m_normalized_cpu_ef91_stats.yml	e097c75d93151a04873303d0191a780b1e6972cdc6ccf7a9ce59aa3c6099e632	12995.414860	0.90360000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/cpu.yaml
deep10m	ansmet	251276.09	0.90359	matched_direct	91	100	ansmet	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_round47_ansmet_fine_after_sample/deep10m_normalized_ansmet_ef91_q100_pre32.yaml	149da23226eece4baf6104f14a2371e11ae7bd4fa7900ddf2cc38e70e0fb2e51	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_round47_ansmet_fine_after_sample/deep10m_normalized_ansmet_ef91_q100_pre32_stats.yml	4847b8e9bf2d4dbecb3966e98c345db88dbf17e38d32924a66bd0f4609c5da07	251276.089918	0.90359000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ansmet.yaml
deep10m	ndp_base	154631.234	0.96462	matched_direct	91	100	ndp_base	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/deep10m_normalized_ndp_base_ansmetef91_q100.yaml	ec3b19f6c5710cbdb22a5b92702e04039397ec0045b52790e7a52ce59a47e052	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/deep10m_normalized_ndp_base_ansmetef91_q100_stats.yml	c8b3c56ed6588689349c4f378f08f86a0647247e3e35423895b7e08f299a84c0	154631.234466	0.96462000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ndp_base.yaml
deep10m	ndp_fpma	154631.234	0.96462	figure_copied_from_ndp_base	91	100	derived_ndp_fpma	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/deep10m_normalized_ndp_base_ansmetef91_q100.yaml	ec3b19f6c5710cbdb22a5b92702e04039397ec0045b52790e7a52ce59a47e052	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/deep10m_normalized_ndp_base_ansmetef91_q100_stats.yml	c8b3c56ed6588689349c4f378f08f86a0647247e3e35423895b7e08f299a84c0	154631.234466	0.96462000	Figure value copied from NDP-Base; config derives the established FPMA timing delta and has no direct k100 result.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ndp_fpma.yaml
deep10m	ndp_et	911033.066	0.8923	matched_direct	35	200	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/deep10m_normalized_ndp_et_mfnns_near_target_ef35_q200.yaml	b64c28b9a0a39ba12bb9a78ba503530289f9eb88f28bd91cb6741a1b860eab3e	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/deep10m_normalized_ndp_et_mfnns_near_target_ef35_q200_stats.yml	e7476eb7e6ac6ff81fc31fae837fb0cd6ec2c33469223dc516f071311897d67d	911033.065945	0.89230000	Legacy file is labelled NDP-ET but enables global_coarse_fine_split and rowSweep; preserved exactly to match Figure data.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/ndp_et.yaml
deep10m	mfnns	921686.594	0.8923	matched_direct	35	200	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/021_deep_t2i_edge_formal_nq1000/yamls/deep10m_normalized_mfnns_edge_nq1000_ef35_q200.yaml	06cd5202d87c190f793df361f14501a393a37564e17daf3ad38dd8749a123a6c	MFANNS/simulator/memory/20260611/021_deep_t2i_edge_formal_nq1000/logs/deep10m_normalized_mfnns_edge_nq1000_ef35_q200_stats.yml	134a194305370bdd4a3cf9b1854a90bf44788abff79b59bf8bfcbd189d5c9a16	921686.594299	0.89230000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/deep10m/mfnns.yaml
glove2m	cpu	281.775	0.90464	matched_direct	1500	NA	cpu	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/yamls/glove2m_normalized_cpu_ef1500.yaml	839fef18c8a79f1ac3142e115cf143bd89958250418b3b8698dd9695a10226fb	MFANNS/simulator/memory/20260609/002_gt100_cpu_mfnns_ndpet_same_ansmet_ef_nq1000/logs/glove2m_normalized_cpu_ef1500_stats.yml	214a37497090c029ff4ce3170dd7902a1a12fca97815b7240f743e9dcfd7c973	281.775212	0.90464000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/cpu.yaml
glove2m	ansmet	4628.689	0.90447	matched_direct	1500	100	ansmet	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_tune_round23_glove_formal_refine/glove2m_normalized_ansmet_ef1500_q100.yaml	4427d7d58ee102e64c656539a84e9ec3fc88c348968549acc1b8ebf29efd7318	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_tune_round23_glove_formal_refine/glove2m_normalized_ansmet_ef1500_q100_stats.yml	96527a688bc4388ee7feef9b694419de6d1d52d78368587b7feaf67bcd9ed9ea	4628.689222	0.90447000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ansmet.yaml
glove2m	ndp_base	3418.924211	0.90294	matched_direct	1500	100	ndp_base	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/glove2m_normalized_ndp_base_ansmetef1500_q100.yaml	654b66bbeff53a5552d4552785123403d63304f58724726606b93f94a8c0edd5	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/glove2m_normalized_ndp_base_ansmetef1500_q100_stats.yml	f3548cf7f409598a25805bcf98a256b3e65784918ecd3d0cf975d03908eebd80	3418.924211	0.90294000	The late result now replaces the former k10-speedup imputation in the plotted CSV.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_base.yaml
glove2m	ndp_fpma	3418.924211	0.90294	figure_copied_from_ndp_base	1500	100	derived_ndp_fpma	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/glove2m_normalized_ndp_base_ansmetef1500_q100.yaml	654b66bbeff53a5552d4552785123403d63304f58724726606b93f94a8c0edd5	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/glove2m_normalized_ndp_base_ansmetef1500_q100_stats.yml	f3548cf7f409598a25805bcf98a256b3e65784918ecd3d0cf975d03908eebd80	3418.924211	0.90294000	Figure value copied from the measured NDP-Base point; config derives the established FPMA timing delta and has no direct k100 result.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_fpma.yaml
glove2m	ndp_et	11628.417	0.89323	matched_direct	1200	1800	mfnns_global_rowsweep	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/yamls/glove2m_normalized_ndp_et_mfnns_near_target_ef1200_q1800.yaml	765780953bd2f8f8a98950bc8fac69360c3eaa71e052f336b0403003d8a11ba2	MFANNS/simulator/memory/20260611/026_gt100_missing_ndpbase_ndpet_coverage/logs/glove2m_normalized_ndp_et_mfnns_near_target_ef1200_q1800_stats.yml	07af5b2f51f09ab09028022e519a8dce1635f9bb08596d317e8e732b408f2d7c	11628.416959	0.89323000	Legacy file is labelled NDP-ET but enables global_coarse_fine_split and rowSweep; preserved exactly to match Figure data.	simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/ndp_et.yaml
glove2m	mfnns	11704.761	0.89324	matched_direct	1200	1800	mfnns_global_rowsweep	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/yamls_tune_round16_glove_formal_refine/glove2m_normalized_mfnns_ef1200_q1800.yaml	9b328f3f672551b7b5f08931f6eaf2fd081f8a113172ab77557b4bf0ed11a605	MFANNS/simulator/memory/20260605/001_gt100_ansmet_mfnns_nq1000_recall09/logs_tune_round16_glove_formal_refine/glove2m_normalized_mfnns_ef1200_q1800_stats.yml	43942a8e484ad38db8c22e59896743b93b9936b4aaa05e5a11611f2d06d405a2	11704.760696	0.89324000		simulator/run_case/figure14_recall_gt0895/configs/final/k100/glove2m/mfnns.yaml
