top_k,dataset_key,dataset_label,dataset_short,design,trace_source_design,config_ref,source_stats_ref,source_energy_ref,source_stats_sha256,source_energy_sha256,data_status,s_num_query,s_mem_cycle,recall,s_fmac_ops_sum,phase1_ops_sum,phase2_fmac_ops_sum,raw_memory_energy_nj,memory_energy_scale,memory_energy_nj,memory_energy_terms
k10,deep10m,Deep10M,DP,cpu,cpu,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/cpu.yaml,MFANNS/simulator/memory/20260329/eight_config_k10_nq1000/logs/deep10m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260401/eight_config_k10_nq32_cpu_quick_energy/runs/formal_submit/01_deep10m_normalized_cpu/slurm-9658488.out,f1178b5b52ce38d5c8b95615185729e49846489e5af640fa035aeb19bd6c9d86,ee73438b3ef9d3267e354721dbbfe68d75d110a6fae09a175649e44b15020be5,historical_cpu_energy_estimate,1000,18232422,0.8758,432475008,0,0,598270.1415,30.0,17948104.245,1
k10,deep10m,Deep10M,DP,ansmet,ansmet,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ansmet.yaml,memory/20260715/003_figure14_k10_formal_npq1000/logs/formal/deep10m_normalized_ansmet_ef0015_npq1000_stats.yml,memory/20260715/003_figure14_k10_formal_npq1000/runs/submission_20260715_193225/03_deep10m_normalized_ansmet_ef0015_npq1000/slurm-9985386.out,e28c0248080d714f06eff9f14a5f10c65d4f722a95f3386ee8ef37ec09b5c57c,8b2dfeeaf8786d75d95dad6e12805fa7fa4b148ee89ebb65dd68e7ad8d9653af,measured_reused,1000,1316022,0.9016,539779648,0,0,4677702.15375,1.0,4677702.15375,32
k10,deep10m,Deep10M,DP,ndp_base,ndp_base,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_base.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_deep10m_normalized_ndp_base_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_deep10m_normalized_ndp_base/slurm-10015795.out,82543961e78cb4e67d84d0f15347a9b716e51c978ece837bee0b3fe1f1215274,d4d626a73858452765449220e3d5bc7d33145740fc1d87b47aebf7e8f6d74433,measured_reused,1000,1998222,0.8983,524639808,0,0,7192020.525,1.0,7192020.525,32
k10,deep10m,Deep10M,DP,ndp_fpma,ndp_fpma,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_fpma.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_deep10m_normalized_ndp_fpma_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_deep10m_normalized_ndp_fpma/slurm-10015796.out,19e469ebb4a00c8d8516120f182b0e4474c680168ea6e4c64e58790ff335ba2b,bf8b7168fa1ab93947c6fb8ec1f57d58ba8e2dc140bef8569d033508b2f845e1,measured_reused,1000,1998222,0.8983,524639808,0,0,7192020.525,1.0,7192020.525,32
k10,deep10m,Deep10M,DP,ndp_et,ndp_et,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/ndp_et.yaml,memory/20260716/001_figure14_k5_k10_ndp_three_designs_recall_gt090/logs/k10/k10_deep10m_normalized_ndp_et_stats.yml,memory/20260716/001_figure14_k5_k10_ndp_three_designs_recall_gt090/runs/submission_20260716_234334/formal/k10_deep10m_normalized_ndp_et/slurm-9991384.out,ab76d15c8ddf3a03026b12c7866050feefef54fb31cdd0cd30a7e9c19a21b919,b72b05096a0b494362b3038db2c849c352fe12dfca17a8fdc7779102daae0b52,measured_reused,1000,1734972,0.9026,149126448,506348544,76113216,5912658.435,1.0,5912658.435,32
k10,deep10m,Deep10M,DP,mfnns,mfnns,simulator/run_case/figure14_recall_gt0895/configs/final/k10/deep10m/mfnns.yaml,memory/20260715/003_figure14_k10_formal_npq1000/logs/formal/deep10m_normalized_mfnns_ef0015_q0040_npq1000_stats.yml,memory/20260715/003_figure14_k10_formal_npq1000/runs/submission_20260715_193225/04_deep10m_normalized_mfnns_ef0015_q0040_npq1000/slurm-9985387.out,9fcf876f545f4b9603e50fcf9868e0e7b6619c273623439e6567a64dcbec7c55,a4cf33cc08cfdad21d3c4ce95f4edf947a282c7588dbff87e69af932814e41a2,measured_reused,1000,1218147,0.9026,182109960,506348544,109096728,4451728.10625,1.0,4451728.10625,32
k10,glove2m,GloVe2M,GV,cpu,cpu,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/cpu.yaml,MFANNS/simulator/memory/20260330/eight_config_k10_nq1000_failed_only_npq100_t48h/logs/glove2m_normalized_cpu_stats.yml,MFANNS/simulator/memory/20260401/eight_config_k10_nq32_cpu_quick_energy/runs/formal_submit/02_glove2m_normalized_cpu/slurm-9658490.out,ef1993d28a7c52f53c85f103749dd59e6c63c1bfc62fd5d79562622a07bbb7de,42650b245fdcd3e893f29c8a6dff8815c1df1e7f0567408381ecc1434b5dfc98,historical_cpu_energy_estimate,1000,3526690640,0.9007,92081916600,0,0,78214166.49,30.0,2346424994.7,1
k10,glove2m,GloVe2M,GV,ansmet,ansmet,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ansmet.yaml,memory/20260715/003_figure14_k10_formal_npq1000/logs/formal/glove2m_normalized_ansmet_ef0500_npq1000_stats.yml,memory/20260715/003_figure14_k10_formal_npq1000/runs/submission_20260715_193225/11_glove2m_normalized_ansmet_ef0500_npq1000/slurm-9985394.out,bd026a15aea824a04157b3caa154b6d11981864f8899b4c2d9a8c6608d5af732,4be56809eaedce8aad255dce78578096b7bca525ac91e82623b1ef8174f4a188,measured_reused,1000,203361597,0.9007,102658997120,0,0,825734009.55,1.0,825734009.55,32
k10,glove2m,GloVe2M,GV,ndp_base,ndp_base,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_base.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_glove2m_normalized_ndp_base_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_glove2m_normalized_ndp_base/slurm-10015797.out,8309b6f3ed2e0707da2b7128617e4cb912d833bbadaa9b80a00a2d8da0b6476d,d9818dcaa01b3728ca87a3438e2100820335af9a0191a05d489c5c38c9645f91,measured_reused,1000,286544247,0.8957,91918888800,0,0,1150232811.91875,1.0,1150232811.91875,32
k10,glove2m,GloVe2M,GV,ndp_fpma,ndp_fpma,simulator/run_case/figure14_recall_gt0895/configs/final/k10/glove2m/ndp_fpma.yaml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/logs/formal/k10_glove2m_normalized_ndp_fpma_stats.yml,memory/20260720/001_figure14_recall_gt0895_unfinished_resubmit/runs/submission_20260720_185156/formal/k10_glove2m_normalized_ndp_fpma/slurm-10015798.out,1820b6a884efce4921bc783b2524187b1e55ed6be9638e4a4f618d47f4d1ed1c,629f3035ab9e3feb833fae3fb23bc258abbf4c20d6c055cb1c432a5283ba3335,measured_reused,1000,286544247,0.8957,91918888800,0,0,1150232811.91875,1.0,1150232811.91875,32
